# This is outer shell photoionization data from Verner et al (1996) 1996ApJ...465..487V (VFKY)
# supplemented by outer shell data from Verner and Yakovlev (1995) 	1995A&AS..109..125V (VY)
# The data is from VFKY up to the inner shell edge (if any) then from VY past this point
# It is processed via the python script verner_2_py.py from simple text dumps of the online
# data from these two papers
#
# The data is read in using the topbase mechanics, so level and level_label are just placholders
#Label z state islp(placeholder) level(placeholder) theshold_energy n_points
PhotVfkyS 1 1 -999 -999 1.360e+01 100
PhotVfky 5.3079e+01 1.7832e-18
PhotVfky 5.7324e+01 1.5110e-18
PhotVfky 6.1909e+01 1.2742e-18
PhotVfky 6.6861e+01 1.0691e-18
PhotVfky 7.2208e+01 8.9248e-19
PhotVfky 7.7984e+01 7.4130e-19
PhotVfky 8.4221e+01 6.1271e-19
PhotVfky 9.0957e+01 5.0403e-19
PhotVfky 9.8232e+01 4.1276e-19
PhotVfky 1.0609e+02 3.3659e-19
PhotVfky 1.1457e+02 2.7338e-19
PhotVfky 1.2374e+02 2.2123e-19
PhotVfky 1.3363e+02 1.7842e-19
PhotVfky 1.4432e+02 1.4344e-19
PhotVfky 1.5587e+02 1.1498e-19
PhotVfky 1.6833e+02 9.1919e-20
PhotVfky 1.8179e+02 7.3304e-20
PhotVfky 1.9634e+02 5.8327e-20
PhotVfky 2.1204e+02 4.6312e-20
PhotVfky 2.2900e+02 3.6701e-20
PhotVfky 2.4731e+02 2.9033e-20
PhotVfky 2.6709e+02 2.2929e-20
PhotVfky 2.8846e+02 1.8080e-20
PhotVfky 3.1153e+02 1.4236e-20
PhotVfky 3.3644e+02 1.1195e-20
PhotVfky 3.6335e+02 8.7920e-21
PhotVfky 3.9241e+02 6.8968e-21
PhotVfky 4.2380e+02 5.4041e-21
PhotVfky 4.5770e+02 4.2301e-21
PhotVfky 4.9430e+02 3.3079e-21
PhotVfky 5.3384e+02 2.5843e-21
PhotVfky 5.7654e+02 2.0173e-21
PhotVfky 6.2265e+02 1.5733e-21
PhotVfky 6.7245e+02 1.2261e-21
PhotVfky 7.2623e+02 9.5474e-22
PhotVfky 7.8432e+02 7.4292e-22
PhotVfky 8.4705e+02 5.7770e-22
PhotVfky 9.1479e+02 4.4892e-22
PhotVfky 9.8796e+02 3.4863e-22
PhotVfky 1.0670e+03 2.7058e-22
PhotVfky 1.1523e+03 2.0988e-22
PhotVfky 1.2445e+03 1.6271e-22
PhotVfky 1.3440e+03 1.2607e-22
PhotVfky 1.4515e+03 9.7630e-23
PhotVfky 1.5676e+03 7.5569e-23
PhotVfky 1.6930e+03 5.8465e-23
PhotVfky 1.8284e+03 4.5212e-23
PhotVfky 1.9746e+03 3.4947e-23
