!RR RATE COEFFICIENT FITS (C)20110412 N. R. BADNELL, DEPARTMENT OF PHYSICS, UNIVERSITY OF STRATHCLYDE, GLASGOW G4 0NG, UK.
!This is resolved radiative rate from ground state to ground state.
!This data was downloaded from http://amdpp.phys.strath.ac.uk/tamoc/DATA/RR/ on 13/July/2013
!It is described in http://adsabs.harvard.edu/abs/2006ApJS..167..334B
!THe data comes as one file for each ion, with many rates. This file contains the first rate line in each file
! which should relate to the ground state of the upper ion recombining into the ground state of the recombined ion.
!The data is tabulated in temperature, first line for each ion is temp, second is rate.
!As with other Badnell data, first number is z, second is number of remianing electrons.
BAD_GS_RR T 4 2 4.00E+01 8.00E+01 2.00E+02 4.00E+02 8.00E+02 2.00E+03 4.00E+03 8.00E+03 2.00E+04 4.00E+04 8.00E+04 2.00E+05 4.00E+05 8.00E+05 2.00E+06 4.00E+06 8.00E+06 2.00E+07 4.00E+07
BAD_GS_RR R 4 2 1.18E-12 8.37E-13 5.30E-13 3.75E-13 2.65E-13 1.69E-13 1.20E-13 8.62E-14 5.66E-14 4.20E-14 3.18E-14 2.22E-14 1.65E-14 1.17E-14 6.68E-15 4.00E-15 2.20E-15 8.75E-16 3.98E-16
BAD_GS_RR T 4 3 1.00E+01 2.00E+01 5.00E+01 1.00E+02 2.00E+02 5.00E+02 1.00E+03 2.00E+03 5.00E+03 1.00E+04 2.00E+04 5.00E+04 1.00E+05 2.00E+05 5.00E+05 1.00E+06 2.00E+06 5.00E+06 1.00E+07
BAD_GS_RR R 4 3 7.18E-14 5.08E-14 3.22E-14 2.29E-14 1.63E-14 1.05E-14 7.73E-15 5.87E-15 4.52E-15 4.20E-15 4.39E-15 5.18E-15 5.74E-15 5.79E-15 4.75E-15 3.47E-15 2.24E-15 1.07E-15 5.54E-16
BAD_GS_RR T 5 0 2.50E+02 5.00E+02 1.25E+03 2.50E+03 5.00E+03 1.25E+04 2.50E+04 5.00E+04 1.25E+05 2.50E+05 5.00E+05 1.25E+06 2.50E+06 5.00E+06 1.25E+07 2.50E+07 5.00E+07 1.25E+08 2.50E+08
BAD_GS_RR R 5 0 2.60E-11 1.84E-11 1.16E-11 8.23E-12 5.82E-12 3.67E-12 2.59E-12 1.83E-12 1.14E-12 7.91E-13 5.39E-13 3.11E-13 1.94E-13 1.14E-13 5.06E-14 2.53E-14 1.18E-14 3.95E-15 1.63E-15
BAD_GS_RR T 5 1 1.60E+02 3.20E+02 8.00E+02 1.60E+03 3.20E+03 8.00E+03 1.60E+04 3.20E+04 8.00E+04 1.60E+05 3.20E+05 8.00E+05 1.60E+06 3.20E+06 8.00E+06 1.60E+07 3.20E+07 8.00E+07 1.60E+08
BAD_GS_RR R 5 1 1.39E-11 9.83E-12 6.22E-12 4.40E-12 3.11E-12 1.96E-12 1.39E-12 9.79E-13 6.16E-13 4.31E-13 2.99E-13 1.78E-13 1.16E-13 7.17E-14 3.43E-14 1.80E-14 8.81E-15 3.10E-15 1.32E-15
BAD_GS_RR T 5 2 9.00E+01 1.80E+02 4.50E+02 9.00E+02 1.80E+03 4.50E+03 9.00E+03 1.80E+04 4.50E+04 9.00E+04 1.80E+05 4.50E+05 9.00E+05 1.80E+06 4.50E+06 9.00E+06 1.80E+07 4.50E+07 9.00E+07
BAD_GS_RR R 5 2 2.15E-12 1.52E-12 9.62E-13 6.80E-13 4.81E-13 3.05E-13 2.17E-13 1.55E-13 1.00E-13 7.27E-14 5.32E-14 3.48E-14 2.44E-14 1.63E-14 8.60E-15 4.84E-15 2.52E-15 9.44E-16 4.15E-16
