Hydrogen
  140  320    2
  140   14   68    2
  14  -1   1    -1,2.807E-05   0,1.000E+00   1,2.943E-17
  16  -1   1    -1,8.878E-06   0,1.000E+00   1,9.306E-17
  18  -1   1    -1,2.807E-06   0,1.000E+00   1,2.943E-16
  20  -1   1    -1,8.878E-07   0,1.000E+00   1,9.306E-16
  22  -1   1    -1,2.807E-07   0,1.000E+00   1,2.943E-15
  24  -1   1    -1,8.878E-08   0,1.000E+00   1,9.306E-15
  26  -1   1    -1,2.807E-08   0,1.000E+00   1,2.943E-14
  28  -1   1    -1,8.878E-09   0,1.000E+00   1,9.306E-14
  30  -1   1    -1,2.807E-09   0,1.000E+00   1,2.943E-13
  32  -1   1    -1,8.878E-10   0,1.000E+00   1,9.306E-13
  34  -1   1    -1,2.807E-10   0,1.000E+00   1,2.943E-12
  36  -1   1    -1,8.878E-11   0,1.000E+00   1,9.306E-12
  38  -1   1    -1,2.807E-11   0,1.000E+00   1,2.943E-11
  40  -1   1    -1,8.878E-12   0,1.000E+00   1,9.306E-11
  42  -1   1    -1,2.807E-12   0,1.000E+00   1,2.943E-10
  44  -1   1    -1,8.878E-13   0,1.000E+00   1,9.306E-10
  46  -1   1    -1,2.807E-13   0,1.000E+00   1,2.943E-09
  48  -1   1    -1,8.878E-14   0,1.000E+00   1,9.306E-09
  50  -1   1    -1,2.807E-14   0,1.000E+00   1,2.943E-08
  52  -1   1    -1,8.878E-15   0,1.000E+00   1,9.306E-08
  54  -1   1    -1,2.807E-15   0,1.000E+00   1,2.943E-07
  56  -1   1    -1,8.878E-16   0,1.000E+00   1,9.306E-07
  58  -1   1    -1,2.807E-16   0,1.000E+00   1,2.943E-06
  60  -1   1    -1,8.878E-17   0,1.000E+00   1,9.306E-06
  62  -1   1    -1,2.807E-17   0,1.000E+00   1,2.943E-05
  64  -1   1    -1,8.877E-18   0,9.999E-01   1,9.305E-05
  66  -1   1    -1,2.807E-18   0,9.997E-01   1,2.942E-04
  68  -1   1    -1,8.869E-19   0,9.991E-01   1,9.297E-04
  142   14   70    2
  14  -1   1    -1,7.554E-03   0,9.924E-01   1,1.818E-17
  16  -1   1    -1,2.401E-03   0,9.976E-01   1,5.778E-17
  18  -1   1    -1,7.606E-04   0,9.992E-01   1,1.830E-16
  20  -1   1    -1,2.406E-04   0,9.998E-01   1,5.791E-16
  22  -1   1    -1,7.611E-05   0,9.999E-01   1,1.832E-15
  24  -1   1    -1,2.407E-05   0,1.000E+00   1,5.792E-15
