   Dtype Element Ion lvl    ion_pot         ex    g rad_rate         config islp ilv
LevMacro       8   4  63 -13.102888 167.981823  2.0    1e-09 2s_2p_3s_2P0.5  211   7
LevMacro       8   4  64 -13.101648 167.983063  4.0    1e-09 2s_2p_3s_2P1.5  211   7
LevMacro       8   4  65  -9.553573 171.531138  4.0    1e-09 2s_2p_3p_2D1.5  220   5
LevMacro       8   4  66  -9.549977 171.534733  6.0    1e-09 2s_2p_3p_2D2.5  220   5
LevMacro       8   4  67  -9.247826 171.836884  2.0    1e-09 2s_2p_3p_2P0.5  210   2
LevMacro       8   4  68  -9.240015 171.844695  4.0    1e-09 2s_2p_3p_2P1.5  210   2
LevMacro       8   4  69  -8.668569 172.416142  2.0    1e-09 2s_2p_3p_2S0.5  200   4
LevMacro       8   4  70  -6.878599 174.206111  2.0    1e-09 2s_2p_4s_4P0.5  411   3
LevMacro       8   4  71  -6.861861 174.222849  4.0    1e-09 2s_2p_4s_4P1.5  411   3
LevMacro       8   4  72  -6.831237 174.253474  6.0    1e-09 2s_2p_4s_4P2.5  411   3
LevMacro       8   4  73  -5.892672 175.192039  2.0    1e-09   2p2_3s_4P0.5  410   3
LevMacro       8   4  74  -5.874818 175.209893  4.0    1e-09   2p2_3s_4P1.5  410   3
LevMacro       8   4  75  -5.848533 175.236178  6.0    1e-09   2p2_3s_4P2.5  410   3
LevMacro       8   4  76  -6.097371 174.987340  2.0    1e-09 2s_2p_4p_2P0.5  210   3
LevMacro       8   4  77  -6.075921 175.008789  4.0    1e-09 2s_2p_4p_2P1.5  210   3
LevMacro       8   4  78  -6.284092 174.800619  2.0    1e-09 2s_2p_4s_2P0.5  211   8
LevMacro       8   4  79  -6.258675 174.826036  4.0    1e-09 2s_2p_4s_2P1.5  211   8
LevMacro       8   4  80  -4.909472 176.175239  2.0    1e-09 2s_2p_4p_4D0.5  420   2
LevMacro       8   4  81  -4.901041 176.183670  4.0    1e-09 2s_2p_4p_4D1.5  420   2
LevMacro       8   4  82  -6.644268 174.440443  6.0    1e-09 2s_2p_3d_2F2.5  231   2
LevMacro       8   4  83  -6.643524 174.441187  8.0    1e-09 2s_2p_3d_2F3.5  231   2
LevMacro       8   4  84  -4.886782 176.197928  6.0    1e-09 2s_2p_4p_4D2.5  420   2
LevMacro       8   4  85  -4.866325 176.218386  8.0    1e-09 2s_2p_4p_4D3.5  420   2
LevMacro       8   4  86  -6.020872 175.063839  4.0    1e-09 2s_2p_3d_2D1.5  221   2
LevMacro       8   4  87  -6.016657 175.068054  6.0    1e-09 2s_2p_3d_2D2.5  221   2
LevMacro       8   4  88  -4.638193 176.446518  4.0    1e-09 2s_2p_4p_4S1.5  400   2
