PhotMacS  2  2  1 1    54.422771  109
PhotMac      54.4228   1.5760e-18
PhotMac      55.8005   1.4740e-18
PhotMac      57.2131   1.3790e-18
PhotMac      58.6614   1.2890e-18
PhotMac      60.1465   1.2060e-18
PhotMac      61.6691   1.1270e-18
PhotMac      63.2302   1.0530e-18
PhotMac      64.8309   9.8430e-19
PhotMac      66.4721   9.1980e-19
PhotMac      68.1549   8.5900e-19
PhotMac      69.8802   8.0250e-19
PhotMac      71.6493   7.4930e-19
PhotMac      73.4631   6.9970e-19
PhotMac      75.3228   6.5320e-19
PhotMac      77.2296   6.0950e-19
PhotMac      79.1846   5.6900e-19
PhotMac      81.1893   5.3070e-19
PhotMac      83.2445   4.9530e-19
PhotMac      85.3519   4.6200e-19
PhotMac      87.5126   4.3080e-19
PhotMac      89.7280   4.0170e-19
PhotMac      91.9995   3.7450e-19
PhotMac      94.3284   3.4930e-19
PhotMac      96.7163   3.2550e-19
PhotMac      99.1648   3.0330e-19
PhotMac     101.6751   2.8250e-19
PhotMac     104.2491   2.6320e-19
PhotMac     106.8881   2.4520e-19
PhotMac     109.5940   2.2830e-19
PhotMac     112.3684   2.1260e-19
PhotMac     115.2130   1.9800e-19
PhotMac     118.1296   1.8430e-19
PhotMac     121.1201   1.7150e-19
PhotMac     124.1863   1.5970e-19
PhotMac     127.3301   1.4860e-19
PhotMac     130.5534   1.3820e-19
PhotMac     133.8584   1.2860e-19
PhotMac     137.2470   1.1960e-19
PhotMac     140.7215   1.1130e-19
PhotMac     144.2839   1.0350e-19
PhotMac     147.9365   9.6200e-20
PhotMac     151.6814   8.9420e-20
PhotMac     155.5212   8.3120e-20
PhotMac     159.4583   7.7270e-20
PhotMac     163.4950   7.1800e-20
PhotMac     167.6340   6.6720e-20
PhotMac     171.8776   6.2000e-20
PhotMac     176.2287   5.7600e-20
PhotMac     180.6900   5.3500e-20
PhotMac     185.2641   4.9680e-20
PhotMac     189.9541   4.6150e-20
PhotMac     194.7628   4.2850e-20
PhotMac     199.6933   3.9780e-20
PhotMac     204.7485   3.6920e-20
PhotMac     209.9318   3.4270e-20
PhotMac     215.2463   3.1800e-20
PhotMac     220.6952   2.9520e-20
PhotMac     226.2821   2.7400e-20
PhotMac     232.0105   2.5420e-20
PhotMac     237.8838   2.3580e-20
PhotMac     243.9060   2.1870e-20
PhotMac     250.0804   2.0290e-20
PhotMac     256.4113   1.8810e-20
PhotMac     262.9024   1.7440e-20
PhotMac     269.5578   1.6170e-20
PhotMac     276.3817   1.4990e-20
PhotMac     283.3783   1.3900e-20
PhotMac     290.5520   1.2880e-20
PhotMac     297.9074   1.1940e-20
PhotMac     305.4489   1.1060e-20
PhotMac     313.1814   1.0250e-20
PhotMac     321.1096   9.5000e-21
PhotMac     329.2386   8.8020e-21
PhotMac     337.5733   8.1530e-21
PhotMac     346.1190   7.5520e-21
PhotMac     354.8811   6.9950e-21
PhotMac     363.8649   6.4770e-21
PhotMac     373.0763   5.9970e-21
PhotMac     382.5207   5.5520e-21
PhotMac     392.2042   5.1400e-21
PhotMac     402.1329   4.7600e-21
PhotMac     412.3130   4.4050e-21
PhotMac     422.7507   4.0770e-21
PhotMac     433.4528   3.7730e-21
PhotMac     444.4256   3.4920e-21
PhotMac     455.6763   3.2300e-21
PhotMac     467.2119   2.9900e-21
PhotMac     479.0393   2.7650e-21
PhotMac     491.1663   2.5580e-21
PhotMac     503.6003   2.3660e-21
PhotMac     516.3488   2.1880e-21
PhotMac     529.4204   2.0230e-21
PhotMac     542.8227   1.8710e-21
PhotMac     556.5643   1.7300e-21
PhotMac     570.6538   1.6000e-21
PhotMac     585.0998   1.4780e-21
PhotMac     599.9120   1.3670e-21
PhotMac     615.0987   1.2630e-21
PhotMac     630.6701   1.1670e-21
PhotMac     646.6356   1.0790e-21
PhotMac    1132.1909   1.8565e-22
PhotMac    1982.3471   3.1943e-23
PhotMac    3470.8811   5.4960e-24
PhotMac    6077.1476   9.4563e-25
PhotMac   10640.4458   1.6270e-25
PhotMac   18630.3009   2.7994e-26
PhotMac   32619.6963   4.8166e-27
PhotMac   57113.6553   8.2874e-28
PhotMac  100000.0000   1.4259e-28
PhotMacS  2  2  2 1    13.605693  109
PhotMac      13.6057   3.6950e-18
PhotMac      13.9501   3.5070e-18
