CSTREN Line   8   8  18.968739  0.000001  2  2    0.000000 653.506341   1   2   1   2  4.800e+01  2.000e-06 -1.000e+00   9   2  1.000e-01
SCT      0.000e+00  1.250e-01  2.500e-01  3.750e-01  5.000e-01  6.250e-01  7.500e-01  8.750e-01  1.000e+00
SCUPS    9.974e-03  9.923e-03  1.053e-02  1.101e-02  1.116e-02  1.121e-02  1.108e-02  1.113e-02  1.213e-02
CSTREN Line   8   8  18.972300  0.000001  2  2    0.000000 653.506341   1   2   1   2  4.800e+01  2.000e-06 -1.000e+00   9   2  1.000e-01
SCT      0.000e+00  1.250e-01  2.500e-01  3.750e-01  5.000e-01  6.250e-01  7.500e-01  8.750e-01  1.000e+00
SCUPS    9.974e-03  9.923e-03  1.053e-02  1.101e-02  1.116e-02  1.121e-02  1.108e-02  1.113e-02  1.213e-02
CSTREN Line   8   8  18.972500  0.138350  2  2    0.000000 653.497223   1   3   1   3  4.800e+01  2.767e-01  2.310e-02   9   1  1.430e+00
SCT      0.000e+00  1.250e-01  2.500e-01  3.750e-01  5.000e-01  6.250e-01  7.500e-01  8.750e-01  1.000e+00
SCUPS    1.403e-02  1.528e-02  1.564e-02  1.594e-02  1.637e-02  1.694e-02  1.774e-02  2.031e-02  2.310e-02
CSTREN Line   8   8  18.967100  0.276550  2  4    0.000000 653.683512   1   4   1   4  4.800e+01  5.531e-01  4.620e-02   9   1  1.430e+00
SCT      0.000e+00  1.250e-01  2.500e-01  3.750e-01  5.000e-01  6.250e-01  7.500e-01  8.750e-01  1.000e+00
SCUPS    2.807e-02  3.056e-02  3.129e-02  3.189e-02  3.274e-02  3.388e-02  3.549e-02  4.062e-02  4.620e-02
CSTREN Line   8   8  16.006700  0.026145  2  2    0.000000 774.583069   1   6   1   6  5.689e+01  5.229e-02  3.700e-03   9   1  1.100e+00
SCT      0.000e+00  1.250e-01  2.500e-01  3.750e-01  5.000e-01  6.250e-01  7.500e-01  8.750e-01  1.000e+00
SCUPS    3.098e-03  3.238e-03  3.301e-03  3.298e-03  3.282e-03  3.297e-03  3.301e-03  3.348e-03  3.700e-03
CSTREN Line   8   8  16.005500  0.052450  2  4    0.000000 774.638269   1   7   1   7  5.689e+01  1.049e-01  7.404e-03   9   1  1.100e+00
SCT      0.000e+00  1.250e-01  2.500e-01  3.750e-01  5.000e-01  6.250e-01  7.500e-01  8.750e-01  1.000e+00
SCUPS    6.191e-03  6.476e-03  6.602e-03  6.596e-03  6.564e-03  6.595e-03  6.601e-03  6.695e-03  7.404e-03
CSTREN Line   8   8  16.005500  0.000001  2  4    0.000000 774.638176   1   8   1   8  5.689e+01  2.000e-06 -1.000e+00   9   2  7.000e-02
SCT      0.000e+00  1.250e-01  2.500e-01  3.750e-01  5.000e-01  6.250e-01  7.500e-01  8.750e-01  1.000e+00
SCUPS    1.068e-03  1.100e-03  1.203e-03  1.146e-03  1.037e-03  9.096e-04  7.740e-04  6.306e-04  5.883e-04
CSTREN Line   8   8  16.005100  0.000001  2  6    0.000000 774.656547   1   9   1   9  5.689e+01  2.000e-06 -1.000e+00   9   2  7.000e-02
SCT      0.000e+00  1.250e-01  2.500e-01  3.750e-01  5.000e-01  6.250e-01  7.500e-01  8.750e-01  1.000e+00
SCUPS    1.601e-03  1.650e-03  1.804e-03  1.719e-03  1.555e-03  1.364e-03  1.161e-03  9.459e-04  8.826e-04
CSTREN Line   8   8  15.176500  0.009510  2  2    0.000000 816.955539   1  11   1  11  6.000e+01  1.902e-02  1.290e-03   9   4  1.100e+00
SCT      0.000e+00  1.250e-01  2.500e-01  3.750e-01  5.000e-01  6.250e-01  7.500e-01  8.750e-01  1.000e+00
SCUPS    1.128e-02  1.171e-02  1.018e-02  8.581e-03  6.974e-03  5.362e-03  3.763e-03  2.179e-03  1.290e-03
CSTREN Line   8   8  15.176000  0.019115  2  4    0.000000 816.978825   1  12   1  12  6.000e+01  3.823e-02  2.580e-03   9   4  1.100e+00
SCT      0.000e+00  1.250e-01  2.500e-01  3.750e-01  5.000e-01  6.250e-01  7.500e-01  8.750e-01  1.000e+00
SCUPS    2.255e-02  2.343e-02  2.036e-02  1.716e-02  1.395e-02  1.073e-02  7.525e-03  4.357e-03  2.580e-03
CSTREN Line   8   8  15.176000  0.000001  2  4    0.000000 816.978785   1  13   1  13  6.000e+01  2.000e-06 -1.000e+00   9   2  1.300e-01
SCT      0.000e+00  1.250e-01  2.500e-01  3.750e-01  5.000e-01  6.250e-01  7.500e-01  8.750e-01  1.000e+00
SCUPS    8.042e-04  6.666e-04  5.531e-04  4.774e-04  4.178e-04  3.656e-04  3.201e-04  2.850e-04  2.861e-04
CSTREN Line   8   8  15.175900  0.000001  2  6    0.000000 816.986536   1  14   1  14  6.000e+01  2.000e-06 -1.000e+00   9   2  1.300e-01
SCT      0.000e+00  1.250e-01  2.500e-01  3.750e-01  5.000e-01  6.250e-01  7.500e-01  8.750e-01  1.000e+00
SCUPS    1.206e-03  1.000e-03  8.296e-04  7.160e-04  6.267e-04  5.485e-04  4.801e-04  4.274e-04  4.291e-04
CSTREN Line   8   8  14.820700  0.004496  2  2    0.000000 836.564705   1  18   1  18  6.144e+01  8.992e-03  6.068e-04   9   1  1.100e+00
SCT      0.000e+00  1.250e-01  2.500e-01  3.750e-01  5.000e-01  6.250e-01  7.500e-01  8.750e-01  1.000e+00
SCUPS    5.407e-04  6.157e-04  6.395e-04  6.490e-04  6.513e-04  6.502e-04  6.399e-04  6.199e-04  6.068e-04
