   Dtype Element Ion lvl    ion_pot       ex   g rad_rate               config islp ilv
-------- ------- --- --- ---------- -------- --- -------- -------------------- ---- ---
LevMacro       8   1   1 -13.618054 0.000000 5.0    1e+21        2s2.2p4_3P2.0  310   1
LevMacro       8   1   2 -13.598431 0.019622 3.0    1e-09        2s2.2p4_3P1.0  310   1
LevMacro       8   1   3 -13.589912 0.028142 1.0    1e-09        2s2.2p4_3P0.0  310   1
LevMacro       8   1   4 -11.650679 1.967375 5.0    1e-09        2s2.2p4_1D2.0  120   1
LevMacro       8   1   5  -9.428285 4.189769 1.0    1e-09        2s2.2p4_1S0.0  100   1
LevMacro       8   1   6  -4.471913 9.146141 5.0    1e-09 2s2.2p3(4S).3s_5S2.0  501   1
LevMacro       8   1   7  -4.096638 9.521416 3.0    1e-09 2s2.2p3(4S).3s_3S1.0  301   1
