   Dtype z ion       Wave         f   gl   gu         el         eu  ll  ul
-------- - --- ---------- --------- ---- ---- ---------- ---------- --- ---
LinMacro 6   2   1928.305  0.024207  4.0  4.0  13.720855  20.150588  10  21
LinMacro 6   2   1926.767  0.009715  2.0  4.0  13.715724  20.150588   9  21
LinMacro 6   2   1141.625  0.075833  6.0  4.0   9.290199  20.150588   7  21
LinMacro 6   2   1514.444  0.000213  2.0  4.0  11.963764  20.150588   8  21
LinMacro 6   2    806.823  0.049675  4.0  2.0   5.334350  20.701399   4  22
LinMacro 6   2    806.686  0.019925  2.0  2.0   5.331746  20.701399   3  22
LinMacro 6   2    806.669  0.016178  4.0  4.0   5.334350  20.704325   4  23
LinMacro 6   2    806.533  0.101050  2.0  4.0   5.331746  20.704325   3  23
LinMacro 6   2    806.859  0.036467  6.0  4.0   5.337970  20.704325   5  23
LinMacro 6   2    806.377  0.054575  4.0  6.0   5.334350  20.709901   4  24
LinMacro 6   2    806.567  0.085133  6.0  6.0   5.337970  20.709901   5  24
LinMacro 6   2      594.8  0.093750  2.0  4.0   0.000000  20.844801   1  25
LinMacro 6   2   17859.79  0.041425  4.0  4.0  20.150588  20.844801  21  25
LinMacro 6   2   2748.142  0.004067  4.0  4.0  16.333212  20.844801  13  25
LinMacro 6   2  17838.508  0.415800  2.0  4.0  20.149760  20.844801  20  25
LinMacro 6   2    595.024  0.009410  4.0  4.0   0.007860  20.844801   2  25
LinMacro 6   2     2747.3  0.057800  2.0  4.0  16.331829  20.844801  12  25
LinMacro 6   2  17857.526  0.373000  4.0  6.0  20.150588  20.844889  21  26
LinMacro 6   2   2748.088  0.036600  4.0  6.0  16.333212  20.844889  13  26
LinMacro 6   2    595.022  0.084625  4.0  6.0   0.007860  20.844889   2  26
LinMacro 6   2   1916.007  0.000025  2.0  2.0  14.448906  20.919909  11  27
LinMacro 6   2   1066.133  0.144250  4.0  2.0   9.290511  20.919909   6  27
LinMacro 6   2   8699.086  0.060850  2.0  2.0  19.494646  20.919909  19  27
LinMacro 6   2   1722.238  0.040350  4.0  2.0  13.720855  20.919909  10  27
LinMacro 6   2   1721.012  0.162150  2.0  2.0  13.715724  20.919909   9  27
LinMacro 6   2   4314.015  0.003342  4.0  2.0  18.045908  20.919909  15  27
LinMacro 6   2   1384.355  0.002510  2.0  2.0  11.963764  20.919909   8  27
LinMacro 6   2   1915.318  0.000072  2.0  4.0  14.448906  20.922237  11  28
LinMacro 6   2   8684.906  0.121450  2.0  4.0  19.494646  20.922237  19  28
LinMacro 6   2    1065.92  0.029025  4.0  4.0   9.290511  20.922237   6  28
LinMacro 6   2   4310.525  0.000661  4.0  4.0  18.045908  20.922237  15  28
LinMacro 6   2   4310.791  0.003257  6.0  4.0  18.046085  20.922237  16  28
LinMacro 6   2   1721.682  0.202775  4.0  4.0  13.720855  20.922237  10  28
LinMacro 6   2   1720.456  0.080800  2.0  4.0  13.715724  20.922237   9  28
LinMacro 6   2   1065.891  0.172833  6.0  4.0   9.290199  20.922237   7  28
LinMacro 6   2   1383.996  0.005390  2.0  4.0  11.963764  20.922237   8  28
LinMacro 6   2    591.792  0.000001  2.0  6.0   0.000000  20.950758   1  29
LinMacro 6   2  117013.81  0.589500  4.0  6.0  20.844801  20.950758  25  29
LinMacro 6   2   1063.284  0.000036  6.0  6.0   9.290199  20.950758   7  29
LinMacro 6   2   4268.462  0.027900  6.0  6.0  18.046085  20.950758  16  29
LinMacro 6   2   1063.313  0.000762  4.0  6.0   9.290511  20.950758   6  29
LinMacro 6   2   4268.202  0.674250  4.0  6.0  18.045908  20.950758  15  29
LinMacro 6   2   117111.1  0.564667  6.0  8.0  20.844889  20.950758  26  30
LinMacro 6   2    592.014  0.000001  4.0  8.0   0.007860  20.950758   2  30
LinMacro 6   2   1063.284  0.000729  6.0  8.0   9.290199  20.950758   7  30
LinMacro 6   2   4268.462  0.559333  6.0  8.0  18.046085  20.950758  16  30
LinMacro 6   2   2629.654  0.000331  2.0  2.0  14.448906  22.324085  11  31
LinMacro 6   2    5254.14  0.060250  2.0  2.0  19.494646  22.324085  19  31
LinMacro 6   2     951.25  0.000004  4.0  2.0   9.290511  22.324085   6  31
LinMacro 6   2   4223.062  0.000056  4.0  2.0  18.045908  22.324085  15  31
