CSTREN Line   6   6  26.357200  0.009160  2  4    0.000000 470.401814   1  19   1  19  3.456e+01  1.832e-02  2.154e-03   9   1  1.100e+00
SCT      0.000e+00  1.250e-01  2.500e-01  3.750e-01  5.000e-01  6.250e-01  7.500e-01  8.750e-01  1.000e+00
SCUPS    1.594e-03  1.908e-03  2.022e-03  2.119e-03  2.185e-03  2.228e-03  2.252e-03  2.257e-03  2.154e-03
CSTREN Line   6   6  26.357200  0.000001  2  4    0.000000 470.401808   1  20   1  20  3.456e+01  2.000e-06 -1.000e+00   9   2  1.746e-01
SCT      0.000e+00  1.250e-01  2.500e-01  3.750e-01  5.000e-01  6.250e-01  7.500e-01  8.750e-01  1.000e+00
SCUPS    7.518e-04  5.988e-04  5.110e-04  4.504e-04  3.989e-04  3.525e-04  3.112e-04  2.806e-04  2.918e-04
CSTREN Line   6   6  26.357200  0.000001  2  6    0.000000 470.403064   1  21   1  21  3.456e+01  2.000e-06 -1.000e+00   9   2  1.746e-01
SCT      0.000e+00  1.250e-01  2.500e-01  3.750e-01  5.000e-01  6.250e-01  7.500e-01  8.750e-01  1.000e+00
SCUPS    1.128e-03  8.982e-04  7.665e-04  6.756e-04  5.983e-04  5.287e-04  4.668e-04  4.209e-04  4.377e-04
CSTREN Line   6   6 182.144000  0.144750  2  2  367.479286 435.549144   2   6   2   6  5.000e+00  2.895e-01  2.320e-01   9   1  1.430e+00
SCT      0.000e+00  1.250e-01  2.500e-01  3.750e-01  5.000e-01  6.250e-01  7.500e-01  8.750e-01  1.000e+00
SCUPS    1.110e-01  9.445e-02  9.359e-02  9.341e-02  9.484e-02  1.013e-01  1.152e-01  1.448e-01  2.320e-01
CSTREN Line   6   6 182.097000  0.289050  2  4  367.479286 435.566592   2   7   2   7  5.000e+00  5.781e-01  4.640e-01   9   1  1.430e+00
SCT      0.000e+00  1.250e-01  2.500e-01  3.750e-01  5.000e-01  6.250e-01  7.500e-01  8.750e-01  1.000e+00
SCUPS    2.220e-01  1.889e-01  1.872e-01  1.868e-01  1.897e-01  2.026e-01  2.304e-01  2.895e-01  4.640e-01
CSTREN Line   6   6 182.097000  0.000001  2  4  367.479286 435.566564   2   8   2   8  5.000e+00  2.000e-06 -1.000e+00   9   2  5.200e-01
SCT      0.000e+00  1.250e-01  2.500e-01  3.750e-01  5.000e-01  6.250e-01  7.500e-01  8.750e-01  1.000e+00
SCUPS    1.740e-01  1.691e-01  1.759e-01  1.813e-01  1.879e-01  2.010e-01  2.212e-01  2.609e-01  3.542e-01
CSTREN Line   6   6 182.081000  0.000001  2  6  367.479286 435.572375   2   9   2   9  5.000e+00  2.000e-06 -1.000e+00   9   2  5.200e-01
SCT      0.000e+00  1.250e-01  2.500e-01  3.750e-01  5.000e-01  6.250e-01  7.500e-01  8.750e-01  1.000e+00
SCUPS    2.609e-01  2.537e-01  2.638e-01  2.720e-01  2.819e-01  3.015e-01  3.318e-01  3.914e-01  5.314e-01
CSTREN Line   6   6 134.923000  0.034110  2  2  367.479286 459.372334   2  11   2  11  6.750e+00  6.822e-02  4.067e-02   9   1  1.430e+00
SCT      0.000e+00  1.250e-01  2.500e-01  3.750e-01  5.000e-01  6.250e-01  7.500e-01  8.750e-01  1.000e+00
SCUPS    3.531e-02  2.809e-02  2.628e-02  2.502e-02  2.486e-02  2.541e-02  2.692e-02  2.980e-02  4.067e-02
CSTREN Line   6   6 134.912000  0.068250  2  4  367.479286 459.379695   2  12   2  12  6.750e+00  1.365e-01  8.136e-02   9   1  1.430e+00
SCT      0.000e+00  1.250e-01  2.500e-01  3.750e-01  5.000e-01  6.250e-01  7.500e-01  8.750e-01  1.000e+00
SCUPS    7.064e-02  5.619e-02  5.255e-02  5.003e-02  4.973e-02  5.082e-02  5.385e-02  5.961e-02  8.136e-02
CSTREN Line   6   6 120.469000  0.013825  2  2  367.479286 470.398046   2  18   2  18  7.560e+00  2.765e-02  1.480e-02   9   1  1.430e+00
SCT      0.000e+00  1.250e-01  2.500e-01  3.750e-01  5.000e-01  6.250e-01  7.500e-01  8.750e-01  1.000e+00
SCUPS    1.432e-02  1.297e-02  1.220e-02  1.161e-02  1.134e-02  1.122e-02  1.132e-02  1.173e-02  1.480e-02
CSTREN Line   6   6 120.464000  0.027690  2  4  367.479286 470.401814   2  19   2  19  7.560e+00  5.538e-02  2.960e-02   9   4  1.430e+00
SCT      0.000e+00  1.250e-01  2.500e-01  3.750e-01  5.000e-01  6.250e-01  7.500e-01  8.750e-01  1.000e+00
SCUPS    7.869e-02  6.518e-02  5.466e-02  4.538e-02  3.820e-02  3.192e-02  2.690e-02  2.404e-02  2.960e-02
