CSTREN Line   8   7  22.097700  0.000001  1  3    0.000000 561.075445   1   2   1   2  4.125e+01  1.000e-06  0.000e+00  15   4  1.012e+00
SCT      0.000e+00  1.081e-01  2.324e-01  3.767e-01  5.463e-01  7.486e-01  8.540e-01  9.188e-01  9.627e-01  9.784e-01  9.867e-01  9.922e-01  9.943e-01  9.956e-01  1.000e+00
SCUPS    1.926e+00  1.907e+00  1.886e+00  1.419e+00  7.961e-01  2.790e-01  1.177e-01  4.840e-02  1.481e-02  6.162e-03  2.622e-03  8.764e-04  3.917e-04  1.772e-04  0.000e+00
CSTREN Line   8   7  21.803600  0.000098  1  3    0.000000 568.643234   1   4   1   4  4.181e+01  9.820e-05  7.833e-06  15   4  1.012e+00
SCT      0.000e+00  1.069e-01  2.302e-01  3.738e-01  5.433e-01  7.463e-01  8.526e-01  9.179e-01  9.623e-01  9.782e-01  9.866e-01  9.921e-01  9.943e-01  9.956e-01  1.000e+00
SCUPS    1.430e+00  1.087e+00  6.920e-01  4.764e-01  3.068e-01  1.592e-01  8.988e-02  4.628e-02  1.725e-02  7.737e-03  3.399e-03  1.217e-03  6.284e-04  3.763e-04  7.833e-06
CSTREN Line   8   7  21.801000  0.000001  1  5    0.000000 568.711549   1   5   1   5  4.182e+01  1.000e-06  0.000e+00  15   2  1.262e-01
SCT      0.000e+00  1.163e-02  2.857e-02  5.555e-02  1.053e-01  2.273e-01  3.704e-01  5.405e-01  7.463e-01  8.547e-01  9.217e-01  9.671e-01  9.833e-01  9.916e-01  1.000e+00
SCUPS    1.733e-02  1.630e-02  1.480e-02  1.360e-02  1.270e-02  1.240e-02  1.220e-02  1.140e-02  9.290e-03  7.210e-03  5.110e-03  2.840e-03  1.680e-03  9.490e-04  0.000e+00
CSTREN Line   8   7  21.789645  0.000001  1  1    0.000000 568.902858   1   6   1   6  4.187e+01  1.000e-06  0.000e+00  15   4  1.058e+00
SCT      0.000e+00  2.438e-02  5.875e-02  1.108e-01  1.990e-01  3.806e-01  5.472e-01  7.006e-01  8.428e-01  9.046e-01  9.399e-01  9.641e-01  9.738e-01  9.797e-01  1.000e+00
