SCT      0.000e+00  1.532e-02  3.745e-02  7.219e-02  1.347e-01  2.801e-01  4.376e-01  6.088e-01  7.955e-01  8.861e-01  9.396e-01  9.749e-01  9.873e-01  9.936e-01  1.000e+00
SCUPS    4.342e-01  4.910e-01  5.730e-01  5.870e-01  5.540e-01  4.920e-01  4.630e-01  4.540e-01  4.550e-01  4.510e-01  4.260e-01  3.650e-01  3.150e-01  2.720e-01  1.830e-01
CSTREN Line   6   2 687.053000  0.354450  2  4    0.000000  18.045908   1  15   1  15  1.425e+00  7.089e-01  1.990e+00  15   1  1.100e+00
SCT      0.000e+00  3.275e-02  7.787e-02  1.440e-01  2.502e-01  4.491e-01  6.112e-01  7.461e-01  8.614e-01  9.098e-01  9.380e-01  9.586e-01  9.676e-01  9.735e-01  1.000e+00
SCUPS    1.208e-01  1.228e-01  1.256e-01  1.341e-01  1.362e-01  1.221e-01  1.044e-01  8.344e-02  6.680e-02  1.124e-01  2.483e-01  5.058e-01  6.953e-01  8.615e-01  1.990e+00
CSTREN Line   6   2 635.994000  0.004549  2  2    0.000000  19.494646   1  19   1  19  1.467e+00  9.098e-03  2.481e-02  15   1  1.100e+00
SCT      0.000e+00  3.184e-02  7.582e-02  1.405e-01  2.449e-01  4.422e-01  6.047e-01  7.413e-01  8.587e-01  9.083e-01  9.371e-01  9.581e-01  9.673e-01  9.733e-01  1.000e+00
SCUPS    1.146e-01  1.288e-01  1.485e-01  1.669e-01  1.689e-01  1.503e-01  1.309e-01  1.072e-01  7.328e-02  5.148e-02  3.709e-02  2.778e-02  2.487e-02  2.363e-02  2.481e-02
CSTREN Line   6   2 594.800000  0.093750  2  4    0.000000  20.844801   1  25   1  25  1.534e+00  1.875e-01  4.889e-01  15   1  1.100e+00
SCT      0.000e+00  3.050e-02  7.276e-02  1.352e-01  2.369e-01  4.316e-01  5.948e-01  7.337e-01  8.546e-01  9.058e-01  9.357e-01  9.574e-01  9.668e-01  9.730e-01  1.000e+00
SCUPS    1.054e-01  1.039e-01  1.017e-01  1.034e-01  1.018e-01  9.137e-02  7.989e-02  6.558e-02  4.845e-02  5.187e-02  7.965e-02  1.377e-01  1.823e-01  2.214e-01  4.889e-01
CSTREN Line   6   2 591.792000  0.000001  2  6    0.000000  20.950758   1  29   1  29  1.580e+00  2.000e-06  5.750e-02  15   2  2.061e-01
SCT      0.000e+00  1.532e-02  3.745e-02  7.219e-02  1.347e-01  2.801e-01  4.376e-01  6.088e-01  7.955e-01  8.861e-01  9.396e-01  9.749e-01  9.873e-01  9.936e-01  1.000e+00
SCUPS    1.752e-01  1.870e-01  2.040e-01  2.270e-01  2.600e-01  3.200e-01  3.730e-01  4.400e-01  5.560e-01  6.220e-01  6.140e-01  5.000e-01  3.860e-01  2.840e-01  5.750e-02
CSTREN Line   6   2 550.368000  0.000031  2  2    0.000000  22.527637   1  33   1  33  1.641e+00  6.113e-05  1.490e-04  15   4  1.100e+00
SCT      0.000e+00  2.857e-02  6.835e-02  1.276e-01  2.251e-01  4.157e-01  5.795e-01  7.219e-01  8.480e-01  9.020e-01  9.334e-01  9.562e-01  9.660e-01  9.725e-01  1.000e+00
SCUPS    6.290e-02  6.431e-01  6.197e-01  5.501e-01  4.423e-01  2.814e-01  1.747e-01  9.863e-02  4.115e-02  2.026e-02  1.047e-02  5.191e-03  3.514e-03  2.644e-03  1.490e-04
