SCT      0.000e+00  7.744e-02  1.726e-01  2.924e-01  4.477e-01  6.098e-01  6.937e-01  7.451e-01  7.799e-01  8.608e-01  9.095e-01  9.442e-01  1.000e+00
SCUPS    1.127e-03  1.162e-02  1.320e-02  1.240e-02  1.049e-02  8.023e-03  6.427e-03  5.322e-03  4.573e-03  2.803e-03  1.880e-03  1.399e-03  1.819e-03
CSTREN Line   6   1 1260.735000  0.036800  1  3    0.000000   9.834331   1  41   1  41  7.240e-01  3.680e-02  2.033e-01  13   1  1.100e+00
SCT      0.000e+00  7.673e-02  1.712e-01  2.903e-01  4.453e-01  6.076e-01  6.918e-01  7.434e-01  7.784e-01  8.599e-01  9.090e-01  9.439e-01  1.000e+00
SCUPS    4.609e-03  5.722e-03  7.411e-03  9.055e-03  1.231e-02  1.892e-02  2.545e-02  3.220e-02  3.898e-02  6.927e-02  1.082e-01  1.547e-01  2.033e-01
CSTREN Line   6   1 3704115.270000  0.000001  3  5    0.002035   0.005383   2   3   2   3  2.916e-04  3.000e-06  1.267e+00  13   2  3.124e+02
SCT      0.000e+00  6.501e-02  1.481e-01  2.580e-01  4.102e-01  5.817e-01  6.760e-01  7.355e-01  7.766e-01  8.743e-01  9.329e-01  9.720e-01  1.000e+00
SCUPS    0.000e+00  1.150e-01  5.190e-01  8.910e-01  1.110e+00  1.200e+00  1.230e+00  1.260e+00  1.280e+00  1.330e+00  1.350e+00  1.290e+00  1.267e+00
CSTREN Line   6   1 9826.800000  0.000001  3  5    0.002035   1.263737   2   4   2   4  9.584e-02  3.000e-06  5.594e-01  13   2  9.504e-01
SCT      0.000e+00  6.501e-02  1.481e-01  2.580e-01  4.102e-01  5.817e-01  6.760e-01  7.355e-01  7.766e-01  8.743e-01  9.329e-01  9.720e-01  1.000e+00
SCUPS    0.000e+00  7.950e-02  2.030e-01  3.680e-01  5.890e-01  8.250e-01  9.440e-01  1.010e+00  1.050e+00  1.080e+00  9.820e-01  7.220e-01  5.594e-01
CSTREN Line   6   1 4622.863000  0.000001  3  1    0.002035   2.684029   2   5   2   5  1.934e-01  3.000e-06  5.043e-02  13   2  4.710e-01
SCT      0.000e+00  6.501e-02  1.481e-01  2.580e-01  4.102e-01  5.817e-01  6.760e-01  7.355e-01  7.766e-01  8.743e-01  9.329e-01  9.720e-01  1.000e+00
SCUPS    0.000e+00  8.760e-03  2.320e-02  4.370e-02  7.250e-02  1.050e-01  1.200e-01  1.270e-01  1.300e-01  1.280e-01  1.100e-01  7.410e-02  5.043e-02
CSTREN Line   6   1 2965.705000  0.000001  3  5    0.002035   4.182656   2   6   2   6  2.927e-01  3.000e-06  5.371e-07  13   4  1.100e+00
SCT      0.000e+00  1.697e-01  3.350e-01  4.960e-01  6.533e-01  7.768e-01  8.295e-01  8.590e-01  8.778e-01  9.194e-01  9.437e-01  9.615e-01  1.000e+00
SCUPS    2.127e-02  5.497e-01  8.373e-01  1.163e+00  1.477e+00  1.424e+00  1.214e+00  1.036e+00  8.985e-01  5.436e-01  3.187e-01  1.533e-01  5.371e-07
CSTREN Line   6   1 1657.907000  0.047700  3  1    0.002035   7.480433   2   7   2   7  5.533e-01  1.431e-01  1.035e+00  13   1  1.100e+00
SCT      0.000e+00  9.797e-02  2.123e-01  3.473e-01  5.095e-01  6.648e-01  7.403e-01  7.850e-01  8.147e-01  8.821e-01  9.219e-01  9.504e-01  1.000e+00
SCUPS    1.405e-01  1.265e-01  9.332e-02  7.944e-02  7.875e-02  9.344e-02  1.126e-01  1.333e-01  1.528e-01  2.442e-01  3.780e-01  5.719e-01  1.035e+00
CSTREN Line   6   1 1657.380000  0.035700  3  3    0.002035   7.482812   2   8   2   8  5.534e-01  1.071e-01  7.741e-01  13   1  1.100e+00
SCT      0.000e+00  9.796e-02  2.122e-01  3.473e-01  5.094e-01  6.648e-01  7.403e-01  7.850e-01  8.146e-01  8.821e-01  9.219e-01  9.504e-01  1.000e+00
