SCT      0.000e+00  2.725e-02  6.532e-02  1.223e-01  2.168e-01  4.043e-01  5.683e-01  7.131e-01  8.430e-01  8.990e-01  9.317e-01  9.553e-01  9.655e-01  9.721e-01  1.000e+00
SCUPS    2.614e-01  2.707e-01  3.231e-01  3.402e-01  3.641e-01  3.643e-01  3.087e-01  2.476e-01  2.122e-01  2.213e-01  2.469e-01  2.853e-01  3.118e-01  3.343e-01  5.121e-01
CSTREN Line   8   2 528.909000  0.000003  4  4    0.000000  23.441634   1  15   1  15  1.777e+00  1.022e-05  2.301e-05  15   4  1.100e+00
SCT      0.000e+00  2.644e-02  6.347e-02  1.190e-01  2.117e-01  3.971e-01  5.611e-01  7.075e-01  8.398e-01  8.971e-01  9.306e-01  9.548e-01  9.651e-01  9.719e-01  1.000e+00
SCUPS    1.002e+00  1.144e+00  1.356e+00  1.655e+00  1.762e+00  1.297e+00  7.828e-01  4.052e-01  1.595e-01  7.814e-02  3.974e-02  1.879e-02  1.230e-02  8.943e-03  2.301e-05
CSTREN Line   8   2 483.721000  0.000001  4  2    0.000000  25.631480   1  18   1  18  1.912e+00  4.000e-06  4.220e-02  15   2  1.703e-01
SCT      0.000e+00  1.532e-02  3.745e-02  7.219e-02  1.347e-01  2.801e-01  4.376e-01  6.088e-01  7.955e-01  8.861e-01  9.396e-01  9.749e-01  9.873e-01  9.936e-01  1.000e+00
SCUPS    3.064e-02  3.240e-02  3.550e-02  3.950e-02  4.350e-02  4.360e-02  3.900e-02  3.430e-02  3.070e-02  2.970e-02  3.030e-02  3.290e-02  3.530e-02  3.740e-02  4.220e-02
CSTREN Line   8   2 483.591000  0.000001  4  4    0.000000  25.638361   1  19   1  19  1.913e+00  4.000e-06  8.420e-02  15   2  1.702e-01
SCT      0.000e+00  1.532e-02  3.745e-02  7.219e-02  1.347e-01  2.801e-01  4.376e-01  6.088e-01  7.955e-01  8.861e-01  9.396e-01  9.749e-01  9.873e-01  9.936e-01  1.000e+00
SCUPS    5.974e-02  6.340e-02  7.070e-02  7.900e-02  8.730e-02  8.750e-02  7.820e-02  6.870e-02  6.130e-02  5.930e-02  6.040e-02  6.550e-02  7.030e-02  7.460e-02  8.420e-02
CSTREN Line   8   2 483.377000  0.000001  4  6    0.000000  25.649718   1  20   1  20  1.913e+00  4.000e-06  1.260e-01  15   2  1.702e-01
SCT      0.000e+00  1.532e-02  3.745e-02  7.219e-02  1.347e-01  2.801e-01  4.376e-01  6.088e-01  7.955e-01  8.861e-01  9.396e-01  9.749e-01  9.873e-01  9.936e-01  1.000e+00
SCUPS    8.646e-02  9.220e-02  1.050e-01  1.180e-01  1.310e-01  1.310e-01  1.170e-01  1.030e-01  9.190e-02  8.880e-02  9.030e-02  9.790e-02  1.050e-01  1.120e-01  1.260e-01
CSTREN Line   8   2 483.086000  0.000001  4  8    0.000000  25.665166   1  21   1  21  1.915e+00  4.000e-06  1.680e-01  15   2  1.700e-01
SCT      0.000e+00  1.532e-02  3.745e-02  7.219e-02  1.347e-01  2.801e-01  4.376e-01  6.088e-01  7.955e-01  8.861e-01  9.396e-01  9.749e-01  9.873e-01  9.936e-01  1.000e+00
SCUPS    1.145e-01  1.220e-01  1.400e-01  1.570e-01  1.750e-01  1.770e-01  1.580e-01  1.390e-01  1.230e-01  1.180e-01  1.200e-01  1.300e-01  1.400e-01  1.480e-01  1.680e-01
CSTREN Line   8   2 483.158000  0.000001  4  6    0.000000  25.661360   1  25   1  25  1.928e+00  4.000e-06  3.830e-06  15   4  1.100e+00
