SCT      0.000e+00  3.550e-02  6.846e-02  1.278e-01  1.796e-01  2.660e-01  3.502e-01  4.161e-01  5.126e-01  5.799e-01  6.675e-01  7.596e-01  1.000e+00
SCUPS    5.612e-02  6.890e-02  8.077e-02  9.248e-02  1.031e-01  1.193e-01  1.351e-01  1.488e-01  1.728e-01  1.971e-01  2.449e-01  3.275e-01  4.493e-01
CSTREN Line   7   1 1134.980000  0.041600  4  6    0.000000  10.923967   1  13   1  13  8.072e-01  1.664e-01  6.541e-01  13   1  1.100e+00
SCT      0.000e+00  3.601e-02  6.940e-02  1.294e-01  1.818e-01  2.688e-01  3.535e-01  4.196e-01  5.161e-01  5.832e-01  6.705e-01  7.619e-01  1.000e+00
SCUPS    8.466e-02  1.039e-01  1.216e-01  1.392e-01  1.547e-01  1.794e-01  2.027e-01  2.227e-01  2.600e-01  2.954e-01  3.666e-01  4.891e-01  6.541e-01
CSTREN Line   7   1 1003.372000  0.000001  4  4    0.000000  12.356818   1  27   1  27  9.237e-01  4.000e-06  2.000e-03  13   2  1.000e-01
SCT      0.000e+00  3.315e-02  6.417e-02  1.206e-01  1.706e-01  2.553e-01  3.396e-01  4.068e-01  5.070e-01  5.783e-01  6.729e-01  7.742e-01  1.000e+00
SCUPS    0.000e+00  0.000e+00  0.000e+00  1.000e-03  1.000e-03  1.000e-03  1.000e-03  1.000e-03  1.000e-03  1.000e-03  2.000e-03  2.000e-03  2.000e-03
CSTREN Line   7   1 1003.377000  0.000001  4  6    0.000000  12.356758   1  28   1  28  9.236e-01  4.000e-06  4.000e-03  13   2  1.000e-01
SCT      0.000e+00  3.315e-02  6.417e-02  1.206e-01  1.706e-01  2.553e-01  3.396e-01  4.068e-01  5.070e-01  5.783e-01  6.729e-01  7.742e-01  1.000e+00
SCUPS    0.000e+00  0.000e+00  1.000e-03  1.000e-03  1.000e-03  1.000e-03  1.000e-03  1.000e-03  2.000e-03  2.000e-03  3.000e-03  4.000e-03  4.000e-03
CSTREN Line   7   1 952.303000  0.002697  4  6    0.000000  13.019471   1  47   1  47  9.626e-01  1.079e-02  8.000e-03  13   2  1.000e-01
SCT      0.000e+00  3.185e-02  6.173e-02  1.163e-01  1.648e-01  2.475e-01  3.304e-01  3.968e-01  4.967e-01  5.682e-01  6.637e-01  7.669e-01  1.000e+00
SCUPS    0.000e+00  0.000e+00  1.000e-03  2.000e-03  2.000e-03  3.000e-03  3.000e-03  4.000e-03  5.000e-03  6.000e-03  7.000e-03  8.000e-03  8.000e-03
CSTREN Line   7   1 10410.440000  0.000001  4  2    2.384623   3.575590   2   4   2   4  9.578e-02  4.000e-06  3.110e-01  13   2  2.454e-01
SCT      0.000e+00  1.187e-01  2.123e-01  3.502e-01  4.470e-01  5.740e-01  6.690e-01  7.294e-01  8.017e-01  8.435e-01  8.899e-01  9.309e-01  1.000e+00
SCUPS    2.223e-02  4.000e-02  5.400e-02  7.000e-02  8.300e-02  1.030e-01  1.240e-01  1.410e-01  1.720e-01  1.990e-01  2.440e-01  3.110e-01  3.110e-01
CSTREN Line   7   1 10411.104000  0.000001  4  4    2.384623   3.575514   2   5   2   5  9.579e-02  4.000e-06  4.460e-01  13   2  2.453e-01
SCT      0.000e+00  1.187e-01  2.123e-01  3.502e-01  4.470e-01  5.740e-01  6.690e-01  7.294e-01  8.017e-01  8.435e-01  8.899e-01  9.309e-01  1.000e+00
SCUPS    2.042e-02  4.200e-02  5.900e-02  8.200e-02  1.010e-01  1.330e-01  1.670e-01  1.950e-01  2.440e-01  2.850e-01  3.520e-01  4.460e-01  4.460e-01
CSTREN Line   7   1 1561.259000  0.000003  4  2    2.384623  10.325965   2   6   2   6  5.943e-01  1.104e-05  8.600e-02  13   2  1.000e-01
SCT      0.000e+00  5.059e-02  9.631e-02  1.757e-01  2.423e-01  3.476e-01  4.442e-01  5.159e-01  6.152e-01  6.807e-01  7.617e-01  8.420e-01  1.000e+00
SCUPS    0.000e+00  8.000e-03  1.700e-02  3.400e-02  4.700e-02  6.300e-02  7.200e-02  7.700e-02  8.200e-02  8.400e-02  8.600e-02  8.600e-02  8.600e-02
CSTREN Line   7   1 1560.436000  0.000002  4  4    2.384623  10.330150   2   7   2   7  5.945e-01  6.572e-06  1.210e-01  13   2  1.000e-01
SCT      0.000e+00  5.057e-02  9.628e-02  1.756e-01  2.422e-01  3.475e-01  4.441e-01  5.158e-01  6.151e-01  6.806e-01  7.617e-01  8.419e-01  1.000e+00
SCUPS    0.000e+00  1.200e-02  2.400e-02  4.900e-02  6.900e-02  9.200e-02  1.060e-01  1.120e-01  1.180e-01  1.210e-01  1.220e-01  1.210e-01  1.210e-01
CSTREN Line   7   1 1559.298000  0.000001  4  6    2.384623  10.335952   2   8   2   8  5.948e-01  4.000e-06  5.500e-02  13   2  1.000e-01
SCT      0.000e+00  5.055e-02  9.623e-02  1.756e-01  2.421e-01  3.474e-01  4.440e-01  5.157e-01  6.150e-01  6.805e-01  7.616e-01  8.419e-01  1.000e+00
SCUPS    0.000e+00  4.000e-03  1.100e-02  2.700e-02  4.000e-02  5.400e-02  6.100e-02  6.300e-02  6.400e-02  6.300e-02  6.000e-02  5.500e-02  5.500e-02
CSTREN Line   7   1 1494.675000  0.057475  4  2    2.384623  10.679729   2   9   2   9  6.091e-01  2.299e-01  1.681e+00  13   1  1.100e+00
SCT      0.000e+00  4.714e-02  8.984e-02  1.642e-01  2.268e-01  3.264e-01  4.181e-01  4.866e-01  5.818e-01  6.450e-01  7.237e-01  8.024e-01  1.000e+00
SCUPS    2.581e-02  3.893e-02  5.081e-02  6.749e-02  8.107e-02  1.050e-01  1.255e-01  1.407e-01  1.648e-01  1.872e-01  2.309e-01  3.149e-01  1.681e+00
CSTREN Line   7   1 1492.820000  0.010810  4  4    2.384623  10.690039   2  10   2  10  6.098e-01  4.324e-02  3.149e-01  13   1  1.100e+00
SCT      0.000e+00  4.709e-02  8.975e-02  1.641e-01  2.266e-01  3.261e-01  4.179e-01  4.863e-01  5.815e-01  6.447e-01  7.235e-01  8.023e-01  1.000e+00
SCUPS    7.511e-03  2.395e-02  3.885e-02  5.756e-02  6.921e-02  8.244e-02  9.044e-02  9.253e-02  9.283e-02  9.221e-02  9.382e-02  1.021e-01  3.149e-01
CSTREN Line   7   1 1450.592000  0.000001  4  2    2.384623  10.931817   2  11   2  11  6.385e-01  4.000e-06  1.740e-01  13   2  1.000e-01
SCT      0.000e+00  4.725e-02  9.024e-02  1.655e-01  2.293e-01  3.315e-01  4.266e-01  4.980e-01  5.981e-01  6.649e-01  7.485e-01  8.322e-01  1.000e+00
SCUPS    3.102e-02  6.400e-02  9.400e-02  1.270e-01  1.480e-01  1.690e-01  1.790e-01  1.820e-01  1.820e-01  1.810e-01  1.790e-01  1.740e-01  1.740e-01
CSTREN Line   7   1 1451.000000  0.000001  4  4    2.384623  10.929412   2  12   2  12  6.383e-01  4.000e-06  2.640e-01  13   2  1.000e-01
SCT      0.000e+00  4.727e-02  9.027e-02  1.656e-01  2.294e-01  3.316e-01  4.267e-01  4.981e-01  5.981e-01  6.649e-01  7.485e-01  8.322e-01  1.000e+00
SCUPS    5.194e-02  1.080e-01  1.590e-01  2.150e-01  2.480e-01  2.810e-01  2.940e-01  2.960e-01  2.910e-01  2.860e-01  2.770e-01  2.640e-01  2.640e-01
CSTREN Line   7   1 1451.925000  0.000001  4  6    2.384623  10.923967   2  13   2  13  6.264e-01  4.000e-06  1.840e-01  13   2  1.000e-01
SCT      0.000e+00  4.812e-02  9.182e-02  1.682e-01  2.327e-01  3.358e-01  4.313e-01  5.028e-01  6.026e-01  6.691e-01  7.521e-01  8.349e-01  1.000e+00
SCUPS    5.354e-02  1.130e-01  1.670e-01  2.230e-01  2.530e-01  2.790e-01  2.820e-01  2.740e-01  2.560e-01  2.390e-01  2.140e-01  1.840e-01  1.840e-01
CSTREN Line   7   1 1243.306000  0.071575  4  4    2.384623  12.356818   2  27   2  27  7.428e-01  2.863e-01  1.379e+00  13   1  1.100e+00
SCT      0.000e+00  3.900e-02  7.494e-02  1.390e-01  1.943e-01  2.852e-01  3.722e-01  4.392e-01  5.358e-01  6.019e-01  6.869e-01  7.746e-01  1.000e+00
SCUPS    9.959e-03  3.694e-02  6.181e-02  8.646e-02  9.610e-02  1.034e-01  1.085e-01  1.164e-01  1.377e-01  1.621e-01  2.129e-01  3.011e-01  1.379e+00
CSTREN Line   7   1 1243.313000  0.008157  4  6    2.384623  12.356758   2  28   2  28  7.428e-01  3.263e-02  1.508e-01  13   1  1.100e+00
SCT      0.000e+00  3.900e-02  7.494e-02  1.390e-01  1.943e-01  2.852e-01  3.722e-01  4.392e-01  5.358e-01  6.019e-01  6.869e-01  7.746e-01  1.000e+00
SCUPS    5.102e-03  1.697e-02  2.791e-02  3.876e-02  4.359e-02  4.726e-02  5.277e-02  5.917e-02  7.362e-02  8.767e-02  1.092e-01  1.301e-01  1.508e-01
CSTREN Line   7   1 1165.836000  0.000051  4  6    2.384623  13.019471   2  47   2  47  7.818e-01  2.050e-04  9.000e-03  13   2  1.000e-01
SCT      0.000e+00  3.893e-02  7.494e-02  1.394e-01  1.955e-01  2.883e-01  3.779e-01  4.475e-01  5.486e-01  6.184e-01  7.085e-01  8.020e-01  1.000e+00
SCUPS    0.000e+00  0.000e+00  1.000e-03  2.000e-03  2.000e-03  3.000e-03  4.000e-03  5.000e-03  6.000e-03  7.000e-03  8.000e-03  9.000e-03  9.000e-03
CSTREN Line   7   1 10401.006000  0.000001  6  2    2.383543   3.575590   3   4   3   4  9.587e-02  6.000e-06  3.200e-01  13   2  2.451e-01
SCT      0.000e+00  1.187e-01  2.123e-01  3.502e-01  4.470e-01  5.740e-01  6.690e-01  7.294e-01  8.017e-01  8.435e-01  8.899e-01  9.309e-01  1.000e+00
SCUPS    1.277e-02  2.800e-02  4.000e-02  5.700e-02  7.000e-02  9.400e-02  1.180e-01  1.390e-01  1.750e-01  2.040e-01  2.520e-01  3.200e-01  3.200e-01
CSTREN Line   7   1 10401.669000  0.000001  6  4    2.383543   3.575514   3   5   3   5  9.588e-02  6.000e-06  8.160e-01  13   2  2.451e-01
SCT      0.000e+00  1.187e-01  2.123e-01  3.502e-01  4.470e-01  5.740e-01  6.690e-01  7.294e-01  8.017e-01  8.435e-01  8.899e-01  9.309e-01  1.000e+00
SCUPS    4.957e-02  9.400e-02  1.290e-01  1.720e-01  2.050e-01  2.600e-01  3.170e-01  3.660e-01  4.500e-01  5.210e-01  6.410e-01  8.160e-01  8.160e-01
