   Dtype z ion        Wave         f  gl  gu         el         eu ll ul
LinMacro 7   1     1492.82  0.010810 4.0 4.0   2.384623  10.690039  2 10
LinMacro 7   1    1492.625  0.068617 6.0 4.0   2.383543  10.690039  3 10
LinMacro 7   1    1742.719  0.019100 2.0 4.0   3.575590  10.690039  4 10
LinMacro 7   1    1742.701  0.047525 4.0 4.0   3.575514  10.690039  5 10
LinMacro 7   1    1134.165  0.014600 4.0 2.0   0.000000  10.931817  1 11
LinMacro 7   1    1450.592  0.000001 4.0 2.0   2.384623  10.931817  2 11
LinMacro 7   1    1685.441  0.000001 2.0 2.0   3.575590  10.931817  4 11
LinMacro 7   1    1685.424  0.000001 4.0 2.0   3.575514  10.931817  5 11
LinMacro 7   1    1134.415  0.028650 4.0 4.0   0.000000  10.929412  1 12
LinMacro 7   1      1451.0  0.000001 4.0 4.0   2.384623  10.929412  2 12
LinMacro 7   1    1450.816  0.000001 6.0 4.0   2.383543  10.929412  3 12
LinMacro 7   1    1685.992  0.000001 2.0 4.0   3.575590  10.929412  4 12
LinMacro 7   1    1685.975  0.000001 4.0 4.0   3.575514  10.929412  5 12
LinMacro 7   1     1134.98  0.041600 4.0 6.0   0.000000  10.923967  1 13
LinMacro 7   1    1451.925  0.000001 4.0 6.0   2.384623  10.923967  2 13
LinMacro 7   1    1451.741  0.000001 6.0 6.0   2.383543  10.923967  3 13
LinMacro 7   1    1687.224  0.000001 4.0 6.0   3.575514  10.923967  5 13
LinMacro 7   1    9711.117  0.000052 2.0 2.0  10.325965  11.602696  6 14
LinMacro 7   1    9743.057  0.000073 4.0 2.0  10.330150  11.602696  7 14
LinMacro 7   1   13433.286  0.085750 2.0 2.0  10.679729  11.602696  9 14
LinMacro 7   1   13585.039  0.081150 4.0 2.0  10.690039  11.602696 10 14
LinMacro 7   1   18480.951  0.000001 2.0 2.0  10.931817  11.602696 11 14
LinMacro 7   1    8705.635  0.245600 2.0 2.0  10.325965  11.750156  6 15
LinMacro 7   1    8731.295  0.021340 4.0 2.0  10.330150  11.750156  7 15
LinMacro 7   1   11582.746  0.000001 2.0 2.0  10.679729  11.750156  9 15
LinMacro 7   1   11695.393  0.000004 4.0 2.0  10.690039  11.750156 10 15
LinMacro 7   1   15150.797  0.025040 2.0 2.0  10.931817  11.750156 11 15
LinMacro 7   1     15106.4  0.002344 4.0 2.0  10.929412  11.750156 12 15
LinMacro 7   1    8688.534  0.261700 2.0 4.0  10.325965  11.752959  6 16
LinMacro 7   1    8714.093  0.146100 4.0 4.0  10.330150  11.752959  7 16
LinMacro 7   1    8749.768  0.007270 6.0 4.0  10.335952  11.752959  8 16
LinMacro 7   1   11552.493  0.000002 2.0 4.0  10.679729  11.752959  9 16
LinMacro 7   1    11664.55  0.000004 4.0 4.0  10.690039  11.752959 10 16
LinMacro 7   1   15099.076  0.026280 2.0 4.0  10.931817  11.752959 11 16
LinMacro 7   1   15054.981  0.015740 4.0 4.0  10.929412  11.752959 12 16
LinMacro 7   1   14956.102  0.000898 6.0 4.0  10.923967  11.752959 13 16
LinMacro 7   1    8685.786  0.320000 4.0 6.0  10.330150  11.757596  7 17
LinMacro 7   1    8721.229  0.073983 6.0 6.0  10.335952  11.757596  8 17
LinMacro 7   1   11613.885  0.000005 4.0 6.0  10.690039  11.757596 10 17
LinMacro 7   1    14970.69  0.033600 4.0 6.0  10.929412  11.757596 12 17
LinMacro 7   1   14872.912  0.008772 6.0 6.0  10.923967  11.757596 13 17
LinMacro 7   1    8682.664  0.381500 6.0 8.0  10.335952  11.763910  8 18
LinMacro 7   1   14761.102  0.043550 6.0 8.0  10.923967  11.763910 13 18
LinMacro 7   1     8202.61  0.046780 2.0 2.0  10.325965  11.837495  6 19
LinMacro 7   1    8225.386  0.132500 4.0 2.0  10.330150  11.837495  7 19
