CSTREN Line   8   5 1218.344000  0.000002  1  3    0.000000  10.176505   1   3   1   3  7.582e-01  1.526e-06  7.987e-06  15   4  1.782e+00
SCT      0.000e+00  3.854e-02  8.969e-02  1.609e-01  2.670e-01  4.438e-01  5.730e-01  6.762e-01  7.692e-01  8.148e-01  8.469e-01  8.761e-01  8.920e-01  9.043e-01  1.000e+00
SCUPS    5.187e-01  4.775e-01  3.670e-01  2.991e-01  2.346e-01  1.444e-01  9.310e-02  5.659e-02  2.668e-02  1.458e-02  8.108e-03  4.180e-03  2.878e-03  2.186e-03  7.987e-06
CSTREN Line   8   5 1213.809000  0.000001  1  5    0.000000  10.214531   1   4   1   4  7.614e-01  1.000e-06  1.000e-06  15   2  2.673e+00
SCT      0.000e+00  1.532e-02  3.745e-02  7.219e-02  1.347e-01  2.801e-01  4.376e-01  6.088e-01  7.955e-01  8.861e-01  9.396e-01  9.749e-01  9.873e-01  9.936e-01  1.000e+00
SCUPS    5.271e-01  5.050e-01  3.950e-01  3.450e-01  3.090e-01  2.500e-01  2.100e-01  1.680e-01  1.110e-01  7.410e-02  4.610e-02  2.270e-02  1.260e-02  6.820e-03  1.000e-06
CSTREN Line   8   5 629.732000  0.511600  1  3    0.000000  19.688513   1   5   1   5  1.516e+00  5.116e-01  1.390e+00  15   1  1.385e+00
SCT      0.000e+00  4.397e-02  1.021e-01  1.826e-01  3.015e-01  4.957e-01  6.332e-01  7.386e-01  8.276e-01  8.682e-01  8.951e-01  9.182e-01  9.302e-01  9.391e-01  1.000e+00
SCUPS    2.205e+00  2.233e+00  2.316e+00  2.361e+00  2.365e+00  2.305e+00  2.204e+00  2.070e+00  1.902e+00  1.804e+00  1.721e+00  1.642e+00  1.600e+00  1.569e+00  1.390e+00
CSTREN Line   8   5 431.553000  0.000001  1  5    0.000000  28.729949   1   9   1   9  2.191e+00  1.000e-06  6.940e-02  15   2  9.288e-01
SCT      0.000e+00  1.532e-02  3.745e-02  7.219e-02  1.347e-01  2.801e-01  4.376e-01  6.088e-01  7.955e-01  8.861e-01  9.396e-01  9.749e-01  9.873e-01  9.936e-01  1.000e+00
SCUPS    1.000e-01  1.000e-01  1.010e-01  1.010e-01  1.030e-01  1.080e-01  1.090e-01  1.030e-01  9.090e-02  8.330e-02  7.800e-02  7.370e-02  7.190e-02  7.090e-02  6.940e-02
CSTREN Line   8   5 172.169000  0.399600  1  3    0.000000  72.013502   1  13   1  13  5.273e+00  3.996e-01  2.920e-01  15   1  1.100e+00
SCT      0.000e+00  5.404e-02  1.245e-01  2.203e-01  3.580e-01  5.731e-01  7.169e-01  8.205e-01  9.003e-01  9.325e-01  9.514e-01  9.657e-01  9.723e-01  9.768e-01  1.000e+00
SCUPS    8.107e-02  8.092e-02  8.533e-02  8.427e-02  7.633e-02  6.415e-02  6.083e-02  6.669e-02  8.890e-02  1.118e-01  1.348e-01  1.603e-01  1.763e-01  1.899e-01  2.920e-01
CSTREN Line   8   5 171.573000  0.000263  1  3    0.000000  72.263728   1  15   1  15  5.286e+00  2.632e-04  3.250e-04  15   4  1.100e+00
SCT      0.000e+00  5.391e-02  1.243e-01  2.199e-01  3.575e-01  5.725e-01  7.165e-01  8.202e-01  9.002e-01  9.324e-01  9.513e-01  9.657e-01  9.723e-01  9.768e-01  1.000e+00
SCUPS    5.279e-01  4.785e-01  3.767e-01  2.955e-01  2.056e-01  1.032e-01  5.266e-02  2.471e-02  8.684e-03  4.015e-03  2.032e-03  1.041e-03  7.538e-04  6.179e-04  3.250e-04
CSTREN Line   8   5 163.234000  0.000001  1  5    0.000000  75.955068   1  20   1  20  5.577e+00  1.000e-06  5.110e-01  15   2  3.649e-01
SCT      0.000e+00  1.532e-02  3.745e-02  7.219e-02  1.347e-01  2.801e-01  4.376e-01  6.088e-01  7.955e-01  8.861e-01  9.396e-01  9.749e-01  9.873e-01  9.936e-01  1.000e+00
SCUPS    1.229e-01  1.220e-01  1.070e-01  1.050e-01  1.080e-01  1.160e-01  1.320e-01  1.620e-01  2.270e-01  2.870e-01  3.460e-01  4.100e-01  4.450e-01  4.690e-01  5.110e-01
