   Dtype Element Ion lvl     ion_pot          ex    g rad_rate      config islp ilv
LevMacro       8   7  64  -18.587067 1153.847806  9.0    1e-09 1s.6h_3H4.0  351   1
LevMacro       8   7  65  -18.587067 1153.847806 11.0    1e-09 1s.6h_3H5.0  351   1
LevMacro       8   7  66  -18.587067 1153.847806 11.0    1e-09 1s.6g_3G5.0  340   2
LevMacro       8   7  67  -18.587067 1153.847806  9.0    1e-09 1s.6g_1G4.0  140   2
LevMacro       8   7  68  -18.586819 1153.848054 13.0    1e-09 1s.6h_3H6.0  351   1
LevMacro       8   7  69  -18.586819 1153.848054 11.0    1e-09 1s.6h_1H5.0  151   1
LevMacro       8   7  70  -18.523463 1153.911411  5.0    1e-09 1s.6d_1D2.0  120   4
LevMacro       8   7  71  -18.489987 1153.944886  3.0    1e-09 1s.6p_1P1.0  111   5
LevMacro       8   7  72  -13.903538 1158.531335  3.0    1e-09 1s.7s_3S1.0  300   6
LevMacro       8   7  73  -13.786001 1158.648873  1.0    1e-09 1s.7p_3P0.0  311   6
LevMacro       8   7  74  -13.786001 1158.648873  3.0    1e-09 1s.7p_3P1.0  311   6
LevMacro       8   7  75  -13.786001 1158.648873  5.0    1e-09 1s.7p_3P2.0  311   6
LevMacro       8   7  76  -13.742234 1158.692639  1.0    1e-09 1s.7s_1S0.0  100   7
LevMacro       8   7  77  -13.566547 1158.868326  3.0    1e-09 1s.7d_3D1.0  320   5
LevMacro       8   7  78  -13.566547 1158.868326  5.0    1e-09 1s.7d_3D2.0  320   5
LevMacro       8   7  79  -13.566547 1158.868326  7.0    1e-09 1s.7d_3D3.0  320   5
LevMacro       8   7  80  -13.663752 1158.771122  5.0    1e-09 1s.7f_3F2.0  331   4
LevMacro       8   7  81  -13.663628 1158.771246  7.0    1e-09 1s.7f_3F3.0  331   4
LevMacro       8   7  82  -13.663256 1158.771618  9.0    1e-09 1s.7f_3F4.0  331   4
LevMacro       8   7  83  -13.663132 1158.771742  7.0    1e-09 1s.7f_1F3.0  131   4
LevMacro       8   7  84  -13.663132 1158.771742  7.0    1e-09 1s.7g_3G3.0  340   3
LevMacro       8   7  85  -13.663132 1158.771742  9.0    1e-09 1s.7g_3G4.0  340   3
LevMacro       8   7  86  -13.662884 1158.771990  9.0    1e-09 1s.7h_3H4.0  351   2
LevMacro       8   7  87  -13.662884 1158.771990 11.0    1e-09 1s.7h_3H5.0  351   2
