SCUPS    5.836e-02  5.910e-02  5.687e-02  7.913e-02  1.473e-01
CSTREN Line   2   1 2945.960000  0.001270  3  1   19.819736  24.028377   2  36   2  36  3.094e-01  3.810e-03  4.926e-02   5   1  1.900e+00
SCT      0.000e+00  2.500e-01  5.000e-01  7.500e-01  1.000e+00
SCUPS    1.946e-02  1.970e-02  1.896e-02  2.638e-02  4.923e-02
CSTREN Line   2   1 20586.900000  0.377000  1  3   20.615900  21.218151   3   7   3   7  4.432e-02  3.770e-01  3.403e+01   5   1  4.900e+00
SCT      0.000e+00  2.500e-01  5.000e-01  7.500e-01  1.000e+00
SCUPS    4.881e-01  2.097e+01  3.273e+01  4.129e+01  3.403e+01
CSTREN Line   2   1 5017.077000  0.152000  1  3   20.615900  23.087157   3  17   3  17  1.817e-01  1.520e-01  3.346e+00   5   1  1.700e+00
SCT      0.000e+00  2.500e-01  5.000e-01  7.500e-01  1.000e+00
SCUPS    1.331e-01  3.076e-01  4.071e-01  1.091e+00  3.346e+00
CSTREN Line   2   1 3965.850000  0.050700  1  3   20.615900  23.742213   3  31   3  31  2.298e-01  5.070e-02  8.825e-01   5   1  1.600e+00
SCT      0.000e+00  2.500e-01  5.000e-01  7.500e-01  1.000e+00
SCUPS    3.611e-02  1.102e-01  2.346e-01  3.902e-01  8.824e-01
CSTREN Line   2   1 3614.672000  0.022100  1  3   20.615900  24.045945   3  49   3  49  2.520e-01  2.210e-02  3.508e-01   5   1  1.600e+00
SCT      0.000e+00  2.500e-01  5.000e-01  7.500e-01  1.000e+00
SCUPS    2.301e-02  5.173e-02  7.463e-02  1.436e-01  3.515e-01
CSTREN Line   2   1 7067.127000  0.069200  5  3   20.964214  22.718603   4   8   4   8  1.289e-01  3.460e-01  1.074e+01   5   1  1.600e+00
SCT      0.000e+00  2.500e-01  5.000e-01  7.500e-01  1.000e+00
SCUPS    4.184e+00  3.029e+00  2.595e+00  4.169e+00  1.074e+01
CSTREN Line   2   1 5877.243000  0.512000  5  7   20.964214  23.073790   4  13   4  13  1.550e-01  2.560e+00  6.606e+01   5   1  2.200e+00
SCT      0.000e+00  2.500e-01  5.000e-01  7.500e-01  1.000e+00
SCUPS    2.968e-01  4.660e+00  1.584e+01  4.556e+01  6.606e+01
CSTREN Line   2   1 5877.243000  0.091200  5  5   20.964214  23.073790   4  14   4  14  1.550e-01  4.560e-01  1.177e+01   5   1  2.200e+00
SCT      0.000e+00  2.500e-01  5.000e-01  7.500e-01  1.000e+00
SCUPS    5.293e-02  8.312e-01  2.825e+00  8.126e+00  1.177e+01
CSTREN Line   2   1 5877.227000  0.006080  5  3   20.964214  23.073795   4  15   4  15  1.550e-01  3.040e-02  7.845e-01   5   1  2.300e+00
SCT      0.000e+00  2.500e-01  5.000e-01  7.500e-01  1.000e+00
SCUPS    2.268e-01  2.721e+00  5.090e+00  1.932e+00  7.845e-01
CSTREN Line   2   1 4714.458000  0.011800  5  3   20.964214  23.594100   4  18   4  18  1.932e-01  5.900e-02  1.222e+00   5   1  1.400e+00
SCT      0.000e+00  2.500e-01  5.000e-01  7.500e-01  1.000e+00
SCUPS    1.035e+00  8.391e-01  8.945e-01  9.428e-01  1.221e+00
CSTREN Line   2   1 4472.729000  0.105000  5  7   20.964214  23.736233   4  23   4  23  2.037e-01  5.250e-01  1.031e+01   5   1  1.700e+00
SCT      0.000e+00  2.500e-01  5.000e-01  7.500e-01  1.000e+00
SCUPS    2.492e-01  1.231e+00  3.400e+00  6.790e+00  1.031e+01
CSTREN Line   2   1 4472.729000  0.018800  5  5   20.964214  23.736233   4  24   4  24  2.037e-01  9.400e-02  1.846e+00   5   1  1.700e+00
SCT      0.000e+00  2.500e-01  5.000e-01  7.500e-01  1.000e+00
SCUPS    4.453e-02  2.195e-01  6.063e-01  1.211e+00  1.846e+00
CSTREN Line   2   1 4472.725000  0.001250  5  3   20.964214  23.736235   4  25   4  25  2.037e-01  6.250e-03  1.227e-01   5   1  1.600e+00
SCT      0.000e+00  2.500e-01  5.000e-01  7.500e-01  1.000e+00
SCUPS    2.180e-01  5.339e-01  1.514e+00  1.729e+00  1.227e-01
CSTREN Line   2   1 4121.973000  0.003640  5  3   20.964214  23.972115   4  32   4  32  2.210e-01  1.820e-02  3.294e-01   5   1  2.100e+00
SCT      0.000e+00  2.500e-01  5.000e-01  7.500e-01  1.000e+00
SCUPS    3.426e-01  2.242e-01  2.172e-01  2.923e-01  3.297e-01
CSTREN Line   2   1 4027.324000  0.039800  5  7   20.964214  24.042806   4  37   4  37  2.262e-01  1.990e-01  3.519e+00   5   1  2.900e+00
SCT      0.000e+00  2.500e-01  5.000e-01  7.500e-01  1.000e+00
SCUPS    5.064e-01  1.142e+00  2.336e+00  3.474e+00  3.519e+00
CSTREN Line   2   1 4027.324000  0.007120  5  5   20.964214  24.042806   4  38   4  38  2.262e-01  3.560e-02  6.295e-01   5   1  2.900e+00
SCT      0.000e+00  2.500e-01  5.000e-01  7.500e-01  1.000e+00
SCUPS    9.033e-02  2.037e-01  4.167e-01  6.200e-01  6.295e-01
CSTREN Line   2   1 4027.322000  0.000474  5  3   20.964214  24.042808   4  39   4  39  2.262e-01  2.370e-03  4.191e-02   5   1  3.200e+00
SCT      0.000e+00  2.500e-01  5.000e-01  7.500e-01  1.000e+00
SCUPS    2.644e-01  6.786e-01  1.361e+00  1.623e+00  4.195e-02
CSTREN Line   2   1 7067.165000  0.069333  3  3   20.964224  22.718603   5   8   5   8  1.289e-01  2.080e-01  6.455e+00   5   1  1.600e+00
SCT      0.000e+00  2.500e-01  5.000e-01  7.500e-01  1.000e+00
