CSTREN Line   6   5  41.471500  0.000001  1  3    0.000000 298.963858   1   2   1   2  2.198e+01  1.000e-06  0.000e+00  15   4  1.025e+00
SCT      0.000e+00  5.382e-02  1.244e-01  2.210e-01  3.611e-01  5.831e-01  7.334e-01  8.419e-01  9.242e-01  9.557e-01  9.726e-01  9.839e-01  9.883e-01  9.910e-01  1.000e+00
SCUPS    1.625e+00  1.770e+00  1.961e+00  1.641e+00  1.105e+00  4.744e-01  2.170e-01  9.282e-02  2.934e-02  1.235e-02  5.308e-03  1.795e-03  8.113e-04  3.764e-04  0.000e+00
CSTREN Line   6   5  40.724775  0.000001  1  1    0.000000 304.389436   1   3   1   3  2.242e+01  1.000e-06  0.000e+00  15   4  1.035e+00
SCT      0.000e+00  3.831e-02  9.049e-02  1.657e-01  2.836e-01  4.949e-01  6.585e-01  7.889e-01  8.956e-01  9.383e-01  9.617e-01  9.775e-01  9.836e-01  9.874e-01  1.000e+00
SCUPS    1.174e+00  9.662e-01  6.827e-01  5.190e-01  3.661e-01  2.183e-01  1.386e-01  8.386e-02  4.301e-02  2.759e-02  1.899e-02  1.284e-02  1.018e-02  8.387e-03  0.000e+00
CSTREN Line   6   5  40.730200  0.000017  1  3    0.000000 304.405059   1   4   1   4  2.238e+01  1.670e-05  2.347e-06  15   4  1.080e+00
SCT      0.000e+00  1.674e-02  4.079e-02  7.826e-02  1.448e-01  2.953e-01  4.521e-01  6.155e-01  7.865e-01  8.676e-01  9.159e-01  9.497e-01  9.634e-01  9.718e-01  1.000e+00
SCUPS    2.119e-01  2.058e-01  1.971e-01  1.798e-01  1.546e-01  1.200e-01  9.048e-02  5.949e-02  2.751e-02  1.353e-02  6.256e-03  2.288e-03  1.182e-03  7.014e-04  2.347e-06
CSTREN Line   6   5  40.728000  0.000001  1  5    0.000000 304.421921   1   6   1   6  2.238e+01  1.000e-06  0.000e+00  15   2  1.000e-01
SCT      0.000e+00  1.395e-02  3.417e-02  6.607e-02  1.240e-01  2.613e-01  4.143e-01  5.859e-01  7.796e-01  8.762e-01  9.340e-01  9.725e-01  9.861e-01  9.930e-01  1.000e+00
SCUPS    2.590e-02  2.590e-02  2.590e-02  2.470e-02  2.310e-02  2.170e-02  2.110e-02  1.980e-02  1.650e-02  1.310e-02  9.420e-03  5.290e-03  3.150e-03  1.770e-03  0.000e+00
CSTREN Line   6   5  40.267400  0.673000  1  3    0.000000 307.904160   1   7   1   7  2.268e+01  6.730e-01  1.197e-01  15   1  1.486e+00
SCT      0.000e+00  2.366e-03  5.890e-03  1.170e-02  2.307e-02  5.538e-02  1.039e-01  1.848e-01  3.476e-01  4.930e-01  6.259e-01  7.532e-01  8.146e-01  8.553e-01  1.000e+00
