SCT      0.000e+00  3.237e-02  7.712e-02  1.430e-01  2.497e-01  4.521e-01  6.194e-01  7.601e-01  8.803e-01  9.297e-01  9.571e-01  9.753e-01  9.823e-01  9.866e-01  1.000e+00
SCUPS    3.084e-02  2.904e-02  2.654e-02  2.412e-02  1.956e-02  1.165e-02  6.698e-03  3.536e-03  1.524e-03  9.094e-04  6.306e-04  4.589e-04  3.860e-04  3.329e-04  1.369e-06
CSTREN Line   7   6  23.771000  0.060500  1  3    0.000000 521.580807   1  31   1  31  3.836e+01  6.050e-02  6.459e-03  15   1  1.137e+00
SCT      0.000e+00  8.093e-03  1.997e-02  3.912e-02  7.511e-02  1.677e-01  2.846e-01  4.371e-01  6.445e-01  7.665e-01  8.482e-01  9.093e-01  9.345e-01  9.501e-01  1.000e+00
SCUPS    1.629e-03  1.669e-03  1.728e-03  1.816e-03  1.912e-03  2.077e-03  2.290e-03  2.628e-03  3.316e-03  4.016e-03  4.718e-03  5.303e-03  5.466e-03  5.519e-03  6.459e-03
CSTREN Line   7   6  23.293300  0.000002  1  3    0.000000 532.276982   1  34   1  34  3.915e+01  1.870e-06  0.000e+00  15   2  8.000e-02
SCT      0.000e+00  1.435e-02  3.512e-02  6.786e-02  1.271e-01  2.669e-01  4.213e-01  5.928e-01  7.845e-01  8.792e-01  9.357e-01  9.733e-01  9.864e-01  9.932e-01  1.000e+00
SCUPS    1.618e-04  1.570e-04  1.500e-04  1.490e-04  1.500e-04  1.530e-04  1.520e-04  1.440e-04  1.200e-04  9.500e-05  6.810e-05  3.840e-05  2.300e-05  1.320e-05  0.000e+00
CSTREN Line   7   6  23.284700  0.663000  1  5    0.000000 532.474118   1  48   1  48  3.916e+01  6.630e-01  0.000e+00  15   4  1.035e+00
SCT      0.000e+00  3.172e-02  7.565e-02  1.405e-01  2.458e-01  4.470e-01  6.146e-01  7.565e-01  8.784e-01  9.286e-01  9.565e-01  9.750e-01  9.822e-01  9.865e-01  1.000e+00
SCUPS    1.691e-02  1.588e-02  1.446e-02  1.270e-02  1.022e-02  6.380e-03  3.818e-03  2.057e-03  8.824e-04  5.139e-04  3.476e-04  2.491e-04  2.088e-04  1.795e-04  0.000e+00
CSTREN Line   7   6  23.277000  0.030500  1  3    0.000000 532.650177   1  49   1  49  3.917e+01  3.050e-02  3.308e-03  15   1  1.137e+00
SCT      0.000e+00  7.927e-03  1.957e-02  3.834e-02  7.368e-02  1.648e-01  2.805e-01  4.322e-01  6.402e-01  7.635e-01  8.463e-01  9.084e-01  9.340e-01  9.497e-01  1.000e+00
SCUPS    8.532e-04  8.786e-04  9.160e-04  9.689e-04  1.046e-03  1.187e-03  1.322e-03  1.497e-03  1.824e-03  2.161e-03  2.499e-03  2.766e-03  2.835e-03  2.852e-03  3.308e-03
CSTREN Line   7   6 1907.632400  0.012533  3  1  419.794185 426.293596   2   3   2   3  4.798e-01  3.760e-02  3.118e-01  15   1  2.414e+00
SCT      0.000e+00  4.198e-02  9.627e-02  1.694e-01  2.736e-01  4.374e-01  5.525e-01  6.444e-01  7.301e-01  7.746e-01  8.076e-01  8.392e-01  8.571e-01  8.715e-01  1.000e+00
SCUPS    9.821e-01  9.542e-01  9.181e-01  8.699e-01  8.001e-01  6.818e-01  6.017e-01  5.353e-01  4.792e-01  4.570e-01  4.408e-01  4.269e-01  4.166e-01  4.067e-01  3.118e-01
CSTREN Line   7   6 1907.341400  0.037667  3  3  419.794185 426.294588   2   4   2   4  4.816e-01  1.130e-01  9.353e-01  15   1  2.448e+00
SCT      0.000e+00  4.067e-02  9.346e-02  1.649e-01  2.675e-01  4.304e-01  5.459e-01  6.387e-01  7.256e-01  7.709e-01  8.044e-01  8.365e-01  8.548e-01  8.694e-01  1.000e+00
SCUPS    2.958e+00  2.872e+00  2.760e+00  2.611e+00  2.394e+00  2.047e+00  1.802e+00  1.604e+00  1.439e+00  1.370e+00  1.326e+00  1.281e+00  1.250e+00  1.222e+00  9.353e-01
CSTREN Line   7   6 1896.813400  0.063000  3  5  419.794185 426.330668   2   5   2   5  4.853e-01  1.890e-01  1.558e+00  15   1  2.479e+00
SCT      0.000e+00  3.935e-02  9.065e-02  1.604e-01  2.614e-01  4.233e-01  5.393e-01  6.330e-01  7.212e-01  7.672e-01  8.013e-01  8.340e-01  8.525e-01  8.674e-01  1.000e+00
SCUPS    4.915e+00  4.778e+00  4.599e+00  4.356e+00  3.994e+00  3.426e+00  3.009e+00  2.678e+00  2.400e+00  2.286e+00  2.209e+00  2.139e+00  2.079e+00  2.044e+00  1.558e+00
CSTREN Line   7   6 161.209700  0.036333  3  1  419.794185 496.703242   2   9   2   9  5.677e+00  1.090e-01  0.000e+00  15   2  1.000e-01
