i j rcen thetacen vol temp xi ne heat_xray heat_comp heat_lines heat_ff cool_comp cool_lines cool_ff rho n_h
1 5 8.259169e+10 6.012813e-01 1.848205e+32 1.300521e+07 1.745837e+06 4.251808e+09 1.645748e-05 1.238482e-02 0.000000e+00 1.909541e-11 1.282140e-02 1.334660e-05 1.478458e-04 8.339864e-15 3.517630e+09
1 6 8.259169e+10 6.936460e-01 1.984446e+32 1.262209e+07 7.367551e+05 9.440523e+09 9.493732e-05 2.725558e-02 0.000000e+00 9.337626e-11 2.613889e-02 6.618986e-05 7.189372e-04 1.851746e-14 7.810388e+09
1 7 8.259169e+10 7.813926e-01 2.076733e+32 1.225951e+07 3.896755e+05 1.744158e+10 3.141312e-04 4.678710e-02 0.000000e+00 3.249737e-10 4.553386e-02 2.272812e-04 2.421338e-03 3.421143e-14 1.442987e+10
1 8 8.259169e+10 8.647518e-01 2.131700e+32 1.182332e+07 2.205410e+05 2.894697e+10 9.204965e-04 7.611109e-02 0.000000e+00 8.643164e-10 6.906426e-02 6.306177e-04 6.559453e-03 5.677912e-14 2.394859e+10
1 9 8.259169e+10 9.439430e-01 2.155425e+32 1.121707e+07 1.279625e+05 4.520497e+10 2.366229e-03 1.088132e-01 0.000000e+00 2.100626e-09 9.264255e-02 1.553352e-03 1.561499e-02 8.866899e-14 3.739926e+10
1 10 8.259169e+10 1.019175e+00 2.153375e+32 1.045453e+07 7.821406e+04 6.803761e+10 5.488868e-03 1.514245e-01 0.000000e+00 5.238860e-09 1.194221e-01 3.562997e-03 3.424799e-02 1.334550e-13 5.628933e+10
1 11 8.259169e+10 1.090645e+00 2.130446e+32 9.538760e+06 5.103500e+04 1.005051e+11 1.184163e-02 2.049352e-01 0.000000e+00 1.222363e-08 1.542429e-01 7.884594e-03 7.168458e-02 1.971399e-13 8.315067e+10
1 12 8.259169e+10 1.158541e+00 2.090811e+32 8.505100e+06 3.097381e+04 1.473518e+11 2.878677e-02 2.782274e-01 5.263477e-15 2.716970e-08 1.810237e-01 1.725923e-02 1.462068e-01 2.890295e-13 1.219083e+11
1 13 8.259169e+10 1.223043e+00 2.038159e+32 7.393818e+06 1.973842e+04 2.163521e+11 6.457573e-02 3.825979e-01 0.000000e+00 7.015996e-08 2.156387e-01 3.794838e-02 2.956157e-01 4.243742e-13 1.789947e+11
1 14 8.259169e+10 1.284320e+00 1.975609e+32 6.260684e+06 1.253061e+04 3.198922e+11 1.708091e-01 5.189132e-01 0.000000e+00 1.791232e-07 2.537172e-01 8.510076e-02 5.991234e-01 6.274702e-13 2.646576e+11
1 15 8.259169e+10 1.342533e+00 1.905886e+32 5.199734e+06 8.457882e+03 4.733051e+11 4.500574e-01 8.017384e-01 0.000000e+00 5.046544e-07 3.106536e-01 1.927050e-01 1.204768e+00 9.283943e-13 3.915829e+11
1 16 8.259169e+10 1.397835e+00 1.831065e+32 4.303300e+06 5.010892e+03 6.867656e+11 9.476418e-01 9.847599e-01 1.320134e-09 1.367101e-06 3.238526e-01 4.286136e-01 2.325024e+00 1.347114e-12 5.681926e+11
1 17 8.259169e+10 1.450372e+00 1.753098e+32 3.629036e+06 3.299627e+03 9.471047e+11 1.887632e+00 1.201509e+00 0.000000e+00 3.043492e-06 3.374921e-01 8.872830e-01 4.091878e+00 1.857796e-12 7.835906e+11
1 18 8.259169e+10 1.500282e+00 1.673458e+32 3.153710e+06 2.495684e+03 1.216289e+12 3.379901e+00 1.507911e+00 0.000000e+00 5.776512e-06 3.643541e-01 1.603922e+00 6.325601e+00 2.385833e-12 1.006309e+12
1 19 8.259169e+10 1.547697e+00 1.593263e+32 2.773190e+06 1.847297e+03 1.468621e+12 4.987407e+00 1.547562e+00 1.570984e-11 9.140965e-06 3.450019e-01 2.661093e+00 8.688770e+00 2.880828e-12 1.215090e+12
2 0 1.224818e+11 6.121442e-02 5.735729e+31 1.827968e+07 8.210676e+12 5.277023e+02 0.000000e+00 9.651210e-10 0.000000e+00 9.750643e-26 1.315170e-09 0.000000e+00 2.663196e-18 1.035081e-21 4.365817e+02
2 1 1.224818e+11 1.805825e-01 1.599813e+32 1.145864e+07 7.091872e+09 5.352537e+05 3.166447e-13 8.621236e-07 0.000000e+00 2.146641e-19 7.403628e-07 2.168931e-13 2.210773e-12 1.049893e-18 4.428292e+05
2 2 1.224818e+11 2.939822e-01 2.452175e+32 1.771694e+07 2.340028e+08 1.764905e+07 2.406766e-10 2.963166e-05 0.000000e+00 1.067689e-16 4.053012e-05 2.137930e-10 2.936358e-09 3.461838e-17 1.460152e+07
2 3 1.224818e+11 4.017120e-01 3.143546e+32 1.406519e+07 8.516424e+06 4.430942e+08 1.936133e-07 6.873313e-04 0.000000e+00 9.440871e-14 7.391980e-04 1.425997e-07 1.664491e-06 8.691234e-16 3.665833e+08
2 4 1.224818e+11 5.040552e-01 3.689112e+32 1.124850e+07 1.771702e+06 2.102044e+09 4.873917e-06 3.166875e-03 0.000000e+00 2.849564e-12 2.757983e-03 3.356620e-06 3.380807e-05 4.123132e-15 1.739076e+09
2 5 1.224818e+11 6.012813e-01 4.105056e+32 1.066107e+07 6.480529e+05 5.289809e+09 2.988317e-05 7.132600e-03 0.000000e+00 1.851376e-11 6.036638e-03 2.145990e-05 2.088953e-04 1.037589e-14 4.376395e+09
2 6 1.224818e+11 6.936460e-01 4.407662e+32 1.021888e+07 3.027598e+05 1.056780e+10 1.424868e-04 1.401045e-02 0.000000e+00 7.443669e-11 1.089088e-02 8.626585e-05 8.176751e-04 2.072861e-14 8.743018e+09
2 7 1.224818e+11 7.813926e-01 4.612639e+32 9.649764e+06 1.677747e+05 1.874170e+10 4.325584e-04 2.319892e-02 0.000000e+00 2.481823e-10 1.780880e-02 2.737239e-04 2.506033e-03 3.676161e-14 1.550550e+10
2 8 1.224818e+11 8.647518e-01 4.734727e+32 9.007691e+06 9.553512e+04 3.070114e+10 1.266996e-03 3.724438e-02 0.000000e+00 6.869024e-10 2.566661e-02 7.426571e-04 6.516293e-03 6.021994e-14 2.539987e+10
2 9 1.224818e+11 9.439430e-01 4.787422e+32 8.365204e+06 5.659283e+04 4.719663e+10 3.233008e-03 5.223287e-02 0.000000e+00 1.635926e-09 3.330627e-02 1.773975e-03 1.488699e-02 9.257573e-14 3.904706e+10
2 10 1.224818e+11 1.019175e+00 4.782871e+32 7.696923e+06 3.527187e+04 6.933725e+10 7.121468e-03 7.048220e-02 0.000000e+00 4.080685e-09 4.114387e-02 3.873604e-03 3.092859e-02 1.360045e-13 5.736467e+10
2 11 1.224818e+11 1.090645e+00 4.731942e+32 6.959316e+06 2.385954e+04 9.928183e+10 1.463557e-02 9.365774e-02 0.000000e+00 8.921788e-09 5.131837e-02 8.043297e-03 6.055102e-02 1.947410e-13 8.213885e+10
2 12 1.224818e+11 1.158541e+00 4.643909e+32 6.152162e+06 1.494046e+04 1.407591e+11 3.333666e-02 1.234657e-01 0.000000e+00 1.859194e-08 5.778428e-02 1.647288e-02 1.150859e-01 2.760993e-13 1.164546e+11
