IonV    V  23  14   1  896.00000 1000   0     1s^22s^22p^6(1S_0) 
IonV    V  23  15   4  976.00000 1000   0     1s^22s^22p^5(2P^o_{3/2}) 
IonV    V  23  16   5 1060.00000 1000   0     1s^22s^22p^4(3P_2) 
IonV    V  23  17   4 1168.00000 1000   0     1s^22s^22p^3(4S^o_{3/2}) 
IonV    V  23  18   1 1260.00000 1000   0     1s^22s^22p^2(3P_0) 
IonV    V  23  19   2 1355.00000 1000   0     1s^22s^22p(2P^o_{1/2}) 
IonV    V  23  20   1 1486.00000 1000   0     1s^22s^2(1S_0) 
IonV    V  23  21   2 1569.60000 1000   0     1s^22s(2S_{1/2}) 
IonV    V  23  22   1 6851.77000 1000   0     1s^2(1S_0) 
IonV    V  23  23   2 7246.13000 1000   0     1s(2S_{1/2}) 
IonV    V  23  24   1 1.0000e+20   0   0     Bare 

IonV   Cr  24   1   7    6.76660 1000   0     ..2p^63s^23p^63d^54s(7S_3) 
IonV   Cr  24   2   6   16.49750 1000   0     ..2s^22p^63s^23p^63d^5(6S_{5/2}) 
IonV   Cr  24   3   1   30.96000 1000   0     ..2s^22p^63s^23p^63d^4(5D_0) 
IonV   Cr  24   5   5   69.46000 1000   0     ..2s^22p^63s^23p^63d^2(3F_2) 
IonV   Cr  24   6   4   90.63600 1000   0     ..2s^22p^63s^23p^63d(2D_{3/2}) 
IonV   Cr  24   7   1  160.18000 1000   0     1s^22s^22p^63s^23p^6(1S_0) 
IonV   Cr  24   8   4  184.70000 1000   0     1s^22s^22p^63s^23p^5(2P^o_{3/2}) 
IonV   Cr  24   9   5  209.30000 1000   0     1s^22s^22p^63s^23p^4(3P_2) 
IonV   Cr  24  10   4  244.40000 1000   0     1s^22s^22p^63s^23p^3(4S^o_{3/2}) 
IonV   Cr  24  11   1  270.80000 1000   0     1s^22s^22p^63s^23p^2(3P_0) 
IonV   Cr  24  12   2  298.00000 1000   0     1s^22s^22p^63s^23p(2P^o_{1/2}) 
IonV   Cr  24  13   1  354.80000 1000   0     1s^22s^22p^63s^2(1S_0) 
IonV   Cr  24  14   2  384.17000 1000   0     1s^22s^22p^63s(2S_{1/2}) 
IonV   Cr  24  15   1 1010.60000 1000   0     1s^22s^22p^6(1S_0) 
IonV   Cr  24  16   4 1097.00000 1000   0     1s^22s^22p^5(2P^o_{3/2}) 
IonV   Cr  24  17   5 1185.00000 1000   0     1s^22s^22p^4(3P_2) 
IonV   Cr  24  18   4 1299.00000 1000   0     1s^22s^22p^3(4S^o_{3/2}) 
IonV   Cr  24  19   1 1396.00000 1000   0     1s^22s^22p^2(3P_0) 
IonV   Cr  24  20   2 1496.00000 1000   0     1s^22s^22p(2P^o_{1/2}) 
IonV   Cr  24  21   1 1634.00000 1000   0     1s^22s^2(1S_0) 
IonV   Cr  24  22   2 1721.60000 1000   0     1s^22s(2S_{1/2}) 
IonV   Cr  24  23   1 7482.40000 1000   0     1s^2(1S_0) 
IonV   Cr  24  24   2 7894.79000 1000   0     1s(2S_{1/2}) 
IonV   Cr  24  25   1 1.0000e+20   0   0     Bare 

IonV   Mn  25   1   6    7.43410 1000   0     ..2p^63s^23p^63d^54s^2(6S_{5/2}) 
IonV   Mn  25   2   7   15.64011 1000   0     ..2p^63s^23p^63d^54s(7S_3) 
IonV   Mn  25   6   5   95.74800 1000   0     ..2s^22p^63s^23p^63d^2(3F_2) 
IonV   Mn  25   7   4  119.27000 1000   0     ..2s^22p^63s^23p^63d(2D_{3/2}) 
IonV   Mn  25   8   1  194.50000 1000   0     1s^22s^22p^63s^23p^6(1S_0) 
IonV   Mn  25   9   4  221.80000 1000   0     1s^22s^22p^63s^23p^5(2P^o_{3/2}) 
IonV   Mn  25  10   5  248.30000 1000   0     1s^22s^22p^63s^23p^4(3P_2) 
IonV   Mn  25  11   4  286.00000 1000   0     1s^22s^22p^63s^23p^3(4S^o_{3/2}) 
IonV   Mn  25  12   1  314.40000 1000   0     1s^22s^22p^63s^23p^2(3P_0) 
IonV   Mn  25  13   2  343.60000 1000   0     1s^22s^22p^63s^23p(2P^o_{1/2}) 
IonV   Mn  25  14   1  403.00000 1000   0     1s^22s^22p^63s^2(1S_0) 
IonV   Mn  25  15   2  435.16000 1000   0     1s^22s^22p^63s(2S_{1/2}) 
IonV   Mn  25  16   1 1133.10000 1000   0     1s^22s^22p^6(1S_0) 
IonV   Mn  25  17   4 1224.00000 1000   0     1s^22s^22p^5(2P^o_{3/2}) 
IonV   Mn  25  18   5 1317.00000 1000   0     1s^22s^22p^4(3P_2) 
IonV   Mn  25  19   4 1437.00000 1000   0     1s^22s^22p^3(4S^o_{3/2}) 
IonV   Mn  25  20   1 1539.00000 1000   0     1s^22s^22p^2(3P_0) 
IonV   Mn  25  21   2 1644.00000 1000   0     1s^22s^22p(2P^o_{1/2}) 
IonV   Mn  25  22   1 1788.00000 1000   0     1s^22s^2(1S_0) 
IonV   Mn  25  23   2 1879.90000 1000   0     1s^22s(2S_{1/2}) 
IonV   Mn  25  24   1 8141.35000 1000   0     1s^2(1S_0) 
IonV   Mn  25  25   2 8571.94000 1000   0     1s(2S_{1/2}) 
IonV   Mn  25  26   1 1.0000e+20   0   0     Bare 

#IonV   Fe  26   1   9    7.87000 1000   0     ..2p^63s^23p^63d^64s^2(5D_4) 
#IonV   Fe  26   2  10   16.18800 1000   0     ..2p^63s^23p^63d^64s(6D_{9/2} 
#IonV   Fe  26   3   9   30.65200 1000   0     ..2s^22p^63s^23p^63d^6(5D_4) 
#IonV   Fe  26   4   6   54.80000 1000   0     ..2s^22p^63s^23p^63d^5(6S_{5/2}) 
#IonV   Fe  26   5   1   75.00000 1000   0     ..2s^22p^63s^23p^63d^4(5D_0) 
#IonV   Fe  26   6   4   99.10000 1000   0     ..2s^22p^63s^23p^63d^3(4F_{3/2}) 
#IonV   Fe  26   7   5  125.00000 1000   0     ..2s^22p^63s^23p^63d^2(3F_2) 
#IonV   Fe  26   8   4  151.06000 1000   0     ..2s^22p^63s^23p^63d(2D_{3/2}) 
#IonV   Fe  26   9   1  233.60000 1000   0     1s^22s^22p^63s^23p^6(1S_0) 
#IonV   Fe  26  10   4  262.10000 1000   0     1s^22s^22p^63s^23p^5(2P^o_{3/2}) 
#IonV   Fe  26  11   5  290.30000 1000   0     1s^22s^22p^63s^23p^4(3P_2) 
#IonV   Fe  26  12   4  330.80000 1000   0     1s^22s^22p^63s^23p^3(4S^o_{3/2}) 
#IonV   Fe  26  13   1  361.00000 1000   0     1s^22s^22p^63s^23p^2(3P_0) 
#IonV   Fe  26  14   2  392.20000 1000   0     1s^22s^22p^63s^23p(2P^o_{1/2}) 
#IonV   Fe  26  15   1  457.00000 1000   0     1s^22s^22p^63s^2(1S_0) 
#IonV   Fe  26  16   2  489.27000 1000   0     1s^22s^22p^63s(2S_{1/2}) 
IonM   Fe  26  17   1 1262.00000 1000   40    1s^22s^22p^6(1S_0) 
IonM   Fe  26  18   4 1358.00000 1000   40    1s^22s^22p^5(2P^o_{3/2}) 
IonM   Fe  26  19   5 1456.00000 1000   60    1s^22s^22p^4(3P_2) 
IonM   Fe  26  20   4 1582.00000 1000   60    1s^22s^22p^3(4S^o_{3/2}) 
IonM   Fe  26  21   1 1689.00000 1000   60    1s^22s^22p^2(3P_0) 
IonM   Fe  26  22   2 1799.00000 1000   80    1s^22s^22p(2P^o_{1/2}) 
IonM   Fe  26  23   1 1950.00000 1000   60     1s^22s^2(1S_0) 
IonM   Fe  26  24   2 2046.00000 1000   40     1s^22s(2S_{1/2}) 
IonM   Fe  26  25   1 8828.80000 1000   40     1s^2(1S_0) 
IonM   Fe  26  26   2 9277.65000 1000   25     1s(2S_{1/2}) 
IonM   Fe  26  27   1 1.0000e+20   0   1     Bare 

IonV   Co  27   1  10    7.86400 1000   0     ..2p^63s^23p^63d^74s^2(4F_{9/2}) 
IonV   Co  27   2   9   17.08300 1000   0     ..2s^22p^63s^23p^63d^8(3F_4) 
IonV   Co  27   3  10   33.50000 1000   0     ..2s^22p^63s^23p^63d^7(4F_{9/2}) 
IonV   Co  27   8   5  157.80000 1000   0     ..2s^22p^63s^23p^63d^2(3F_2) 
IonV   Co  27   9   4  186.13000 1000   0     ..2s^22p^63s^23p^63d(2D_{3/2}) 
IonV   Co  27  10   1  275.40000 1000   0     1s^22s^22p^63s^23p^6(1S_0) 
IonV   Co  27  11   4  305.30000 1000   0     1s^22s^22p^63s^23p^5(2P^o_{3/2}) 
IonV   Co  27  12   5  336.00000 1000   0     1s^22s^22p^63s^23p^4(3P_2) 
IonV   Co  27  13   4  379.00000 1000   0     1s^22s^22p^63s^23p^3(4S^o_{3/2}) 
IonV   Co  27  15   2  444.00000 1000   0     1s^22s^22p^63s^23p(2P^o_{1/2}) 
IonV   Co  27  16   1  511.96000 1000   0     1s^22s^22p^63s^2(1S_0) 
IonV   Co  27  17   2  546.59000 1000   0     1s^22s^22p^63s(2S_{1/2}) 
IonV   Co  27  18   1 1397.20000 1000   0     1s^22s^22p^6(1S_0) 
IonV   Co  27  19   4 1504.60000 1000   0     1s^22s^22p^5(2P^o_{3/2}) 
IonV   Co  27  20   5 1603.00000 1000   0     1s^22s^22p^4(3P_2) 
IonV   Co  27  21   4 1735.00000 1000   0     1s^22s^22p^3(4S^o_{3/2}) 
IonV   Co  27  22   1 1846.00000 1000   0     1s^22s^22p^2(3P_0) 
IonV   Co  27  23   2 1962.00000 1000   0     1s^22s^22p(2P^o_{1/2}) 
IonV   Co  27  24   1 2119.00000 1000   0     1s^22s^2(1S_0) 
IonV   Co  27  25   2 2219.00000 1000   0     1s^22s(2S_{1/2}) 
IonV   Co  27  26   1 9544.83000 1000   0     1s^2(1S_0) 
IonV   Co  27  27   2 10012.07000 1000   0     1s(2S_{1/2}) 
IonV   Co  27  28   1 1.0000e+20   0   0     Bare 

IonV   Ni  28   1   9    7.63800 1000   0     ..2p^63s^23p^63d^84s^2(3F_4) 
IonV   Ni  28   2   6   18.16898 1000   0     ..2s^22p^63s^23p^63d^9(2D_{5/2}) 
IonV   Ni  28   9   5  193.00000 1000   0     ..2s^22p^63s^23p^63d^2(3F_2) 
IonV   Ni  28  11   1  321.00000 1000   0     1s^22s^22p^63s^23p^6(1S_0) 
IonV   Ni  28  12   4  352.00000 1000   0     1s^22s^22p^63s^23p^5(2P^o_{3/2}) 
IonV   Ni  28  13   5  384.00000 1000   0     1s^22s^22p^63s^23p^4(3P_2) 
IonV   Ni  28  14   4  430.00000 1000   0     1s^22s^22p^63s^23p^3(4S^o_{3/2}) 
IonV   Ni  28  15   1  464.00000 1000   0     1s^22s^22p^63s^23p^2(3P_0) 
IonV   Ni  28  16   2  499.00000 1000   0     1s^22s^22p^63s^23p(2P^o_{1/2}) 
IonV   Ni  28  17   1  571.30000 1000   0     1s^22s^22p^63s^2(1S_0) 
IonV   Ni  28  18   2  607.06000 1000   0     1s^22s^22p^63s(2S_{1/2}) 
IonV   Ni  28  19   1 1541.00000 1000   0     1s^22s^22p^6(1S_0) 
IonV   Ni  28  20   4 1648.00000 1000   0     1s^22s^22p^5(2P^o_{3/2}) 
IonV   Ni  28  21   5 1756.00000 1000   0     1s^22s^22p^4(3P_2) 
IonV   Ni  28  22   4 1894.00000 1000   0     1s^22s^22p^3(4S^o_{3/2}) 
IonV   Ni  28  23   1 2011.00000 1000   0     1s^22s^22p^2(3P_0) 
IonV   Ni  28  24   2 2131.00000 1000   0     1s^22s^22p(2P^o_{1/2}) 
IonV   Ni  28  25   1 2295.00000 1000   0     1s^22s^2(1S_0) 
IonV   Ni  28  26   2 2399.20000 1000   0     1s^22s(2S_{1/2}) 
IonV   Ni  28  27   1 10289.50000 1000   0     1s^2(1S_0) 
IonV   Ni  28  28   2 10775.30000 1000   0     1s(2S_{1/2}) 
IonV   Ni  28  29   1 1.0000e+20   0   0     Bare 

