IonV    F   9   6   1  157.16600 1000   0     1s^22s^2(1S_0) 
IonV    F   9   7   2  185.18800 1000   0     1s^22s(2S_{1/2}) 
IonV    F   9   8   1  953.91500 1000   0     1s^2(1S_0) 
IonV    F   9   9   2 1103.12600 1000   0     1s(2S_{1/2}) 
IonV    F   9  10   1 1.0000e+20   0   0     Bare 

IonV   Ne  10   1   1   21.56500 1000   0     1s^22s^22p^6(1S_0) 
IonV   Ne  10   2   4   40.96400 1000   0     1s^22s^22p^5(2P^o_{3/2}) 
IonV   Ne  10   3   5   63.46000 1000   0     1s^22s^22p^4(3P_2) 
IonV   Ne  10   4   4   97.12000 1000   0     1s^22s^22p^3(4S^o_{3/2}) 
IonV   Ne  10   5   1  126.22000 1000   0     1s^22s^22p^2(3P_0) 
IonV   Ne  10   6   2  157.93000 1000   0     1s^22s^22p(2P^o_{1/2}) 
IonV   Ne  10   7   1  207.28000 1000   0     1s^22s^2(1S_0) 
IonV   Ne  10   8   2  239.10000 1000   0     1s^22s(2S_{1/2}) 
IonV   Ne  10   9   1 1195.83000 1000   0     1s^2(1S_0) 
IonV   Ne  10  10   2 1362.20000 1000   0     1s(2S_{1/2}) 
IonV   Ne  10  11   1 1.0000e+20   0   0     Bare 

IonV   Na  11   1   2    5.13900 1000   0     1s^22s^22p^63s(2S_{1/2}) 
IonV   Na  11   2   1   47.28700 1000   0     1s^22s^22p^6(1S_0) 
IonV   Na  11   3   4   71.62000 1000   0     1s^22s^22p^5(2P^o_{3/2}) 
IonV   Na  11   4   5   98.92000 1000   0     1s^22s^22p^4(3P_2) 
IonV   Na  11   5   4  138.39000 1000   0     1s^22s^22p^3(4S^o_{3/2}) 
IonV   Na  11   6   1  172.15000 1000   0     1s^22s^22p^2(3P_0) 
IonV   Na  11   7   2  208.48000 1000   0     1s^22s^22p(2P^o_{1/2}) 
IonV   Na  11   8   1  264.19000 1000   0     1s^22s^2(1S_0) 
IonV   Na  11   9   2  299.88000 1000   0     1s^22s(2S_{1/2}) 
IonV   Na  11  10   1 1465.13000 1000   0     1s^2(1S_0) 
IonV   Na  11  11   2 1648.71000 1000   0     1s(2S_{1/2}) 
IonV   Na  11  12   1 1.0000e+20   0   0     Bare 

IonV   Mg  12   1   1    7.64600 1000   0     1s^22s^22p^63s^2(1S_0) 
IonV   Mg  12   2   2   15.03500 1000   0     1s^22s^22p^63s(2S_{1/2}) 
IonV   Mg  12   3   1   80.14400 1000   0     1s^22s^22p^6(1S_0) 
IonV   Mg  12   4   4  109.25000 1000   0     1s^22s^22p^5(2P^o_{3/2}) 
IonV   Mg  12   5   5  141.27000 1000   0     1s^22s^22p^4(3P_2) 
IonV   Mg  12   6   4  186.51000 1000   0     1s^22s^22p^3(4S^o_{3/2}) 
IonV   Mg  12   7   1  224.95000 1000   0     1s^22s^22p^2(3P_0) 
IonV   Mg  12   8   2  265.96000 1000   0     1s^22s^22p(2P^o_{1/2}) 
IonV   Mg  12   9   1  328.24000 1000   0     1s^22s^2(1S_0) 
IonV   Mg  12  10   2  367.54000 1000   0     1s^22s(2S_{1/2}) 
IonV   Mg  12  11   1 1761.85000 1000   0     1s^2(1S_0) 
IonV   Mg  12  12   2 1962.68000 1000   0     1s(2S_{1/2}) 
IonV   Mg  12  13   1 1.0000e+20   0   0     Bare 

IonV   Al  13   1   2    5.98600 1000   0     1s^22s^22p^63s^23p(2P^o_{1/2}) 
IonV   Al  13   2   1   18.82900 1000   0     1s^22s^22p^63s^2(1S_0) 
IonV   Al  13   3   2   28.44800 1000   0     1s^22s^22p^63s(2S_{1/2}) 
IonV   Al  13   4   1  119.99000 1000   0     1s^22s^22p^6(1S_0) 
IonV   Al  13   5   4  153.82600 1000   0     1s^22s^22p^5(2P^o_{3/2}) 
IonV   Al  13   6   5  190.48000 1000   0     1s^22s^22p^4(3P_2) 
IonV   Al  13   7   4  241.44000 1000   0     1s^22s^22p^3(4S^o_{3/2}) 
IonV   Al  13   8   1  284.60000 1000   0     1s^22s^22p^2(3P_0) 
IonV   Al  13   9   2  330.11000 1000   0     1s^22s^22p(2P^o_{1/2}) 
IonV   Al  13  10   1  399.37000 1000   0     1s^22s^2(1S_0) 
IonV   Al  13  11   2  442.08000 1000   0     1s^22s(2S_{1/2}) 
IonV   Al  13  12   1 2086.04000 1000   0     1s^2(1S_0) 
IonV   Al  13  13   2 2304.16000 1000   0     1s(2S_{1/2}) 
IonV   Al  13  14   1 1.0000e+20   0   0     Bare 

IonV   Si  14   1   1    8.15200 1000   0     1s^22s^22p^63s^23p^2(3P_0) 
IonV   Si  14   2   2   16.34600 1000   0     1s^22s^22p^63s^23p(2P^o_{1/2}) 
IonV   Si  14   3   1   33.49300 1000   0     1s^22s^22p^63s^2(1S_0) 
IonV   Si  14   4   2   45.14200 1000   0     1s^22s^22p^63s(2S_{1/2}) 
IonV   Si  14   5   1  166.77000 1000   0     1s^22s^22p^6(1S_0) 
