AugMacro 26 23 1 174 3.29000e+12 4
AugNels 26 23 1 0 0 0
AugMacro 26 23 1 190 482000. 4
AugNels 26 23 1 0 0 0
AugMacro 26 23 2 174 6.38000e+13 4
AugNels 26 23 1 0 0 0
AugMacro 26 23 2 190 5.24000e+13 4
AugNels 26 23 1 0 0 0
AugMacro 26 23 3 174 4.18000e+12 4
AugNels 26 23 1 0 0 0
AugMacro 26 23 3 190 1.75000e+14 4
AugNels 26 23 1 0 0 0
AugMacro 26 23 1 175 4.47000e+13 4
AugNels 26 23 1 0 0 0
AugMacro 26 23 1 191 1.23000e+11 4
AugNels 26 23 1 0 0 0
AugMacro 26 23 2 175 4.51000e+12 4
AugNels 26 23 1 0 0 0
AugMacro 26 23 2 191 5.12000e+12 4
AugNels 26 23 1 0 0 0
AugMacro 26 23 3 175 1.95000e+13 4
AugNels 26 23 1 0 0 0
AugMacro 26 23 3 191 4.28000e+13 4
AugNels 26 23 1 0 0 0
AugMacro 26 23 1 176 1.20000e+14 4
AugNels 26 23 1 0 0 0
AugMacro 26 23 1 192 6.15000e+11 4
AugNels 26 23 1 0 0 0
AugMacro 26 23 2 176 5.41000e+12 4
AugNels 26 23 1 0 0 0
AugMacro 26 23 2 192 6.71000e+13 4
AugNels 26 23 1 0 0 0
AugMacro 26 23 3 176 8.50000e+12 4
AugNels 26 23 1 0 0 0
AugMacro 26 23 3 192 1.29000e+14 4
AugNels 26 23 1 0 0 0
AugMacro 26 23 1 177 1.47000e+14 4
AugNels 26 23 1 0 0 0
AugMacro 26 23 1 193 1.83000e+12 4
AugNels 26 23 1 0 0 0
AugMacro 26 23 2 177 1.52000e+09 4
AugNels 26 23 1 0 0 0
AugMacro 26 23 2 193 2.38000e+13 4
AugNels 26 23 1 0 0 0
AugMacro 26 24 1 25 1.43000e+14 4
AugNels 26 24 1 0 0 0
AugMacro 26 24 1 26 1.33000e+10 4
AugNels 26 24 1 0 0 0
AugMacro 26 24 1 27 3.91000e+11 4
AugNels 26 24 1 0 0 0
AugMacro 26 24 1 28 1.97000e+09 4
AugNels 26 24 1 0 0 0
AugMacro 26 24 1 29 4.24000e+13 4
AugNels 26 24 1 0 0 0
AugMacro 26 24 1 30 1.41000e+11 4
AugNels 26 24 1 0 0 0
AugMacro 26 24 1 31 3.37000e+11 4
AugNels 26 24 1 0 0 0
AugMacro 26 24 1 32 6.77000e+13 4
AugNels 26 24 1 0 0 0
AugMacro 26 24 1 33 1.07000e+14 4
AugNels 26 24 1 0 0 0
AugMacro 26 24 1 34 9.66000e+11 4
AugNels 26 24 1 0 0 0
AugMacro 26 24 1 35 2.61000e+13 4
AugNels 26 24 1 0 0 0
AugMacro 26 24 1 36 1.25000e+14 4
AugNels 26 24 1 0 0 0
AugMacro 26 24 1 37 9.39000e+11 4
AugNels 26 24 1 0 0 0
AugMacro 26 24 1 38 1.37000e+14 4
AugNels 26 24 1 0 0 0
AugMacro 26 24 1 39 3.28000e+13 4
AugNels 26 24 1 0 0 0
AugMacro 26 24 1 40 2.92000e+13 4
AugNels 26 24 1 0 0 0
