i j rcen thetacen vol temp xi ne heat_xray heat_comp heat_lines heat_ff cool_comp cool_lines cool_ff rho n_h
1 5 8.259169e+10 6.012813e-01 1.848205e+32 1.300521e+07 1.743592e+06 4.251808e+09 1.779577e-05 1.249856e-02 0.000000e+00 2.009015e-11 1.288526e-02 1.334660e-05 1.478458e-04 8.339864e-15 3.517630e+09
1 6 8.259169e+10 6.936460e-01 1.984446e+32 1.262209e+07 7.624505e+05 9.440523e+09 9.352878e-05 2.811793e-02 0.000000e+00 9.316207e-11 2.693586e-02 6.618979e-05 7.189372e-04 1.851746e-14 7.810388e+09
1 7 8.259169e+10 7.813926e-01 2.076733e+32 1.225951e+07 3.897202e+05 1.744158e+10 3.231199e-04 4.771405e-02 0.000000e+00 3.225667e-10 4.577383e-02 2.272868e-04 2.421339e-03 3.421143e-14 1.442987e+10
1 8 8.259169e+10 8.647518e-01 2.131700e+32 1.182332e+07 2.195186e+05 2.894697e+10 8.572833e-04 7.339347e-02 0.000000e+00 8.927828e-10 6.815803e-02 6.305898e-04 6.559447e-03 5.677912e-14 2.394859e+10
1 9 8.259169e+10 9.439430e-01 2.155425e+32 1.121707e+07 1.266539e+05 4.520496e+10 2.154594e-03 1.061859e-01 0.000000e+00 2.119602e-09 9.148208e-02 1.553165e-03 1.561495e-02 8.866899e-14 3.739926e+10
1 10 8.259169e+10 1.019175e+00 2.153375e+32 1.045453e+07 7.994772e+04 6.803761e+10 5.831521e-03 1.551133e-01 2.323079e-15 4.860863e-09 1.225041e-01 3.563007e-03 3.424808e-02 1.334550e-13 5.628933e+10
1 11 8.259169e+10 1.090645e+00 2.130446e+32 9.538760e+06 4.991856e+04 1.005051e+11 1.260179e-02 2.036189e-01 0.000000e+00 1.221316e-08 1.513410e-01 7.886153e-03 7.168461e-02 1.971399e-13 8.315067e+10
1 12 8.259169e+10 1.158541e+00 2.090811e+32 8.505100e+06 3.143541e+04 1.473518e+11 2.961550e-02 2.762562e-01 0.000000e+00 2.839899e-08 1.830218e-01 1.725544e-02 1.462061e-01 2.890295e-13 1.219083e+11
1 13 8.259169e+10 1.223043e+00 2.038159e+32 7.393818e+06 2.046101e+04 2.163522e+11 7.701037e-02 4.015778e-01 0.000000e+00 7.283103e-08 2.233838e-01 3.795832e-02 2.956230e-01 4.243742e-13 1.789947e+11
1 14 8.259169e+10 1.284320e+00 1.975609e+32 6.260684e+06 1.340067e+04 3.198924e+11 1.824512e-01 5.484409e-01 8.102595e-15 1.864075e-07 2.672749e-01 8.505142e-02 5.991407e-01 6.274702e-13 2.646576e+11
1 15 8.259169e+10 1.342533e+00 1.905886e+32 5.199734e+06 8.104453e+03 4.733046e+11 3.871710e-01 7.362021e-01 0.000000e+00 4.961619e-07 2.955201e-01 1.926434e-01 1.204721e+00 9.283943e-13 3.915829e+11
1 16 8.259169e+10 1.397835e+00 1.831065e+32 4.303300e+06 5.051681e+03 6.867663e+11 1.005449e+00 1.020560e+00 0.000000e+00 1.322390e-06 3.260989e-01 4.279360e-01 2.325115e+00 1.347114e-12 5.681926e+11
1 17 8.259169e+10 1.450372e+00 1.753098e+32 3.629036e+06 3.399471e+03 9.471053e+11 1.976470e+00 1.265987e+00 2.334531e-09 2.994667e-06 3.498213e-01 8.810849e-01 4.091965e+00 1.857796e-12 7.835906e+11
1 18 8.259169e+10 1.500282e+00 1.673458e+32 3.153710e+06 2.305919e+03 1.216287e+12 3.164085e+00 1.399540e+00 1.230142e-11 5.327016e-06 3.415587e-01 1.619926e+00 6.325261e+00 2.385833e-12 1.006309e+12
1 19 8.259169e+10 1.547697e+00 1.593263e+32 2.773190e+06 1.750170e+03 1.468620e+12 4.805459e+00 1.589499e+00 0.000000e+00 8.965490e-06 3.287479e-01 2.715692e+00 8.688768e+00 2.880828e-12 1.215090e+12
2 0 1.224818e+11 6.121442e-02 5.735729e+31 1.827968e+07 7.285756e+12 5.277023e+02 0.000000e+00 7.701224e-10 0.000000e+00 1.073710e-25 1.158415e-09 0.000000e+00 2.663196e-18 1.035081e-21 4.365817e+02
2 1 1.224818e+11 1.805825e-01 1.599813e+32 1.145864e+07 7.341678e+09 5.352537e+05 3.201830e-13 8.571883e-07 0.000000e+00 2.190097e-19 7.612090e-07 2.168931e-13 2.210773e-12 1.049893e-18 4.428292e+05
2 2 1.224818e+11 2.939822e-01 2.452175e+32 1.771694e+07 2.247852e+08 1.764905e+07 2.231064e-10 2.905606e-05 0.000000e+00 1.093002e-16 3.904710e-05 2.137929e-10 2.936358e-09 3.461838e-17 1.460152e+07
2 3 1.224818e+11 4.017120e-01 3.143546e+32 1.406519e+07 8.290414e+06 4.430942e+08 1.683450e-07 6.603274e-04 0.000000e+00 9.541381e-14 7.231158e-04 1.425993e-07 1.664491e-06 8.691234e-16 3.665833e+08
