i j rcen thetacen vol temp xi ne heat_xray heat_comp heat_lines heat_ff cool_comp cool_lines cool_ff rho n_h
1 5 8.259169e+10 6.012813e-01 1.848205e+32 1.300521e+07 1.765945e+06 4.251808e+09 1.711311e-05 1.316347e-02 0.000000e+00 1.926881e-11 1.310535e-02 1.334671e-05 1.478458e-04 8.339864e-15 3.517630e+09
1 6 8.259169e+10 6.936460e-01 1.984446e+32 1.262209e+07 7.430976e+05 9.440523e+09 8.854699e-05 2.718745e-02 0.000000e+00 9.115881e-11 2.634178e-02 6.618899e-05 7.189370e-04 1.851746e-14 7.810388e+09
1 7 8.259169e+10 7.813926e-01 2.076733e+32 1.225951e+07 3.802614e+05 1.744158e+10 3.155782e-04 4.814380e-02 0.000000e+00 3.237954e-10 4.472856e-02 2.273009e-04 2.421341e-03 3.421143e-14 1.442987e+10
1 8 8.259169e+10 8.647518e-01 2.131700e+32 1.182332e+07 2.120460e+05 2.894697e+10 8.092299e-04 7.247639e-02 0.000000e+00 8.585220e-10 6.594188e-02 6.305997e-04 6.559443e-03 5.677912e-14 2.394859e+10
1 9 8.259169e+10 9.439430e-01 2.155425e+32 1.121707e+07 1.274513e+05 4.520497e+10 2.096753e-03 1.064804e-01 0.000000e+00 2.326155e-09 9.171626e-02 1.553439e-03 1.561500e-02 8.866899e-14 3.739926e+10
1 10 8.259169e+10 1.019175e+00 2.153375e+32 1.045453e+07 7.847900e+04 6.803761e+10 5.816222e-03 1.505237e-01 0.000000e+00 5.265081e-09 1.196288e-01 3.562829e-03 3.424801e-02 1.334550e-13 5.628933e+10
1 11 8.259169e+10 1.090645e+00 2.130446e+32 9.538760e+06 5.204240e+04 1.005052e+11 1.263360e-02 2.120050e-01 2.955657e-12 1.176995e-08 1.565817e-01 7.889494e-03 7.168529e-02 1.971399e-13 8.315067e+10
1 12 8.259169e+10 1.158541e+00 2.090811e+32 8.505100e+06 3.173280e+04 1.473518e+11 2.779882e-02 2.740448e-01 2.427934e-14 2.882125e-08 1.838796e-01 1.724949e-02 1.462054e-01 2.890295e-13 1.219083e+11
1 13 8.259169e+10 1.223043e+00 2.038159e+32 7.393818e+06 2.036758e+04 2.163521e+11 6.625519e-02 3.784957e-01 0.000000e+00 7.208965e-08 2.212679e-01 3.792812e-02 2.956167e-01 4.243742e-13 1.789947e+11
1 14 8.259169e+10 1.284320e+00 1.975609e+32 6.260684e+06 1.295855e+04 3.198922e+11 1.689681e-01 5.237394e-01 0.000000e+00 1.977971e-07 2.583791e-01 8.507898e-02 5.991213e-01 6.274702e-13 2.646576e+11
1 15 8.259169e+10 1.342533e+00 1.905886e+32 5.199734e+06 7.842858e+03 4.733038e+11 3.852702e-01 7.059112e-01 0.000000e+00 4.726234e-07 2.864034e-01 1.931389e-01 1.204652e+00 9.283943e-13 3.915829e+11
1 16 8.259169e+10 1.397835e+00 1.831065e+32 4.303300e+06 5.064173e+03 6.867652e+11 9.637961e-01 9.679085e-01 0.000000e+00 1.298851e-06 3.238361e-01 4.289901e-01 2.324981e+00 1.347114e-12 5.681926e+11
1 17 8.259169e+10 1.450372e+00 1.753098e+32 3.629036e+06 3.245649e+03 9.471050e+11 1.758829e+00 1.192204e+00 4.594188e-09 2.870920e-06 3.310351e-01 8.882094e-01 4.091926e+00 1.857796e-12 7.835906e+11
1 18 8.259169e+10 1.500282e+00 1.673458e+32 3.153710e+06 2.608175e+03 1.216289e+12 3.465304e+00 1.512787e+00 0.000000e+00 5.622955e-06 3.798483e-01 1.591470e+00 6.325479e+00 2.385833e-12 1.006309e+12
1 19 8.259169e+10 1.547697e+00 1.593263e+32 2.773190e+06 1.896388e+03 1.468624e+12 5.350558e+00 1.663251e+00 0.000000e+00 9.617842e-06 3.556722e-01 2.598711e+00 8.689236e+00 2.880828e-12 1.215090e+12
2 0 1.224818e+11 6.121442e-02 5.735729e+31 1.827968e+07 7.973277e+12 5.277023e+02 0.000000e+00 8.907346e-10 0.000000e+00 9.657076e-26 1.267181e-09 0.000000e+00 2.663196e-18 1.035081e-21 4.365817e+02
2 1 1.224818e+11 1.805825e-01 1.599813e+32 1.145864e+07 7.641022e+09 5.352537e+05 3.219073e-13 8.784675e-07 0.000000e+00 1.996645e-19 7.837295e-07 2.168931e-13 2.210773e-12 1.049893e-18 4.428292e+05
2 2 1.224818e+11 2.939822e-01 2.452175e+32 1.771694e+07 2.242930e+08 1.764905e+07 2.543297e-10 2.923961e-05 0.000000e+00 1.104300e-16 3.920531e-05 2.137930e-10 2.936358e-09 3.461838e-17 1.460152e+07
2 3 1.224818e+11 4.017120e-01 3.143546e+32 1.406519e+07 8.511903e+06 4.430942e+08 1.924151e-07 6.967836e-04 0.000000e+00 9.253881e-14 7.444139e-04 1.425998e-07 1.664491e-06 8.691234e-16 3.665833e+08
2 4 1.224818e+11 5.040552e-01 3.689112e+32 1.124850e+07 1.772006e+06 2.102044e+09 4.943490e-06 3.143683e-03 0.000000e+00 2.864248e-12 2.766772e-03 3.356595e-06 3.380807e-05 4.123132e-15 1.739076e+09
2 5 1.224818e+11 6.012813e-01 4.105056e+32 1.066107e+07 6.526764e+05 5.289809e+09 3.129014e-05 7.577753e-03 0.000000e+00 1.871069e-11 6.153227e-03 2.146051e-05 2.088954e-04 1.037589e-14 4.376395e+09
2 6 1.224818e+11 6.936460e-01 4.407662e+32 1.021888e+07 3.069532e+05 1.056780e+10 1.326879e-04 1.408867e-02 0.000000e+00 7.245615e-11 1.105540e-02 8.626150e-05 8.176745e-04 2.072861e-14 8.743018e+09
